Jahr;OPS_Code;Beschreibung;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
2021;OPS-1-275;    Transarterielle Linksherz-Katheteruntersuchung;709;536;358;382;331;290;750;953;2118;4305;8907;16201;34349;55351;65311;68208;70776;68928;73268;28136;4536;303;505006;546;484;279;275;172;95;217;298;621;1265;2772;5233;11145;18347;25401;31638;38247;43732;54984;23521;4467;409;264149;1255;1020;637;657;503;385;967;1251;2739;5570;11679;21434;45494;73698;90712;99846;109023;112660;128252;51657;9003;712;769155
2021;OPS-1-276;    Angiokardiographie als selbständige Maßnahme;1173;701;361;368;255;106;141;172;167;196;228;305;539;882;1065;1318;1653;2311;3206;1463;297;17;16924;870;648;326;240;139;68;131;116;126;129;117;169;271;390;510;726;1170;1749;2892;1575;363;21;12746;2043;1349;687;608;394;174;272;288;293;325;345;474;810;1272;1575;2044;2823;4060;6098;3038;660;38;29670
2021;OPS-1-277;    Herzkatheteruntersuchung bei univentrikul. Herzen;157;153;44;48;20;14;11;12;2;5;4;-;1;1;1;1;-;1;-;1;-;-;476;95;115;42;23;5;7;12;12;3;4;2;1;-;1;-;3;1;3;1;-;-;-;330;252;268;86;71;25;21;23;24;5;9;6;1;1;2;1;4;1;4;1;1;-;-;806
2021;OPS-1-279;    And.diagnost.Katheteruntersuchung a.Herz u.Gefäßen;291;174;70;58;54;35;87;113;228;514;1102;2105;4795;8284;10085;10424;10321;9487;9051;2830;352;21;70481;257;187;89;48;31;26;43;78;101;199;347;675;1430;2595;3529;4845;5574;6179;6994;2575;343;23;36168;548;361;159;106;85;61;130;191;329;713;1449;2780;6225;10879;13614;15269;15895;15666;16045;5405;695;44;106649
2021;OPS-1-313;    Ösophagusmanometrie;5;-;5;12;11;12;68;198;233;246;213;315;401;472;433;327;375;304;286;124;22;1;4063;1;2;1;9;19;16;118;123;167;201;280;341;526;643;592;587;512;381;384;152;31;4;5090;6;2;6;21;30;28;186;321;400;447;493;656;927;1115;1025;914;887;685;670;276;53;5;9153
2021;OPS-1-314;    Manometrie der Gallen- und Pankreasgänge;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;1;-;-;-;-;5;-;-;-;-;-;-;-;-;1;-;-;1;-;3;1;1;1;1;-;-;-;-;9
2021;OPS-1-315;    Anorektale Manometrie;8;17;21;6;3;5;15;20;21;17;31;22;60;64;67;55;70;62;53;16;7;-;640;3;22;20;4;12;8;24;30;33;24;34;39;59;68;62;65;67;78;87;29;1;-;769;11;39;41;10;15;13;39;50;54;41;65;61;119;132;129;120;137;140;140;45;8;-;1409
2021;OPS-1-316;    pH-Metrie des Ösophagus;96;207;184;170;75;14;63;135;208;183;154;178;269;291;219;203;153;104;78;23;5;-;3012;75;151;125;171;130;18;86;91;119;168;202;265;432;448;399;372;280;140;121;24;2;-;3819;171;358;309;341;205;32;149;226;327;351;356;443;701;739;618;575;433;244;199;47;7;-;6831
2021;OPS-1-317;    pH-Metrie des Magens;105;22;26;26;7;4;7;23;37;29;30;38;66;58;47;47;42;37;33;17;9;-;710;112;20;5;21;19;3;8;17;26;23;34;51;72;80;79;88;77;50;65;36;10;1;897;217;42;31;47;26;7;15;40;63;52;64;89;138;138;126;135;119;87;98;53;19;1;1607
2021;OPS-1-318;    Dünndarmmanometrie;-;-;-;-;-;2;2;4;7;2;-;4;5;-;-;1;1;-;-;1;-;-;29;-;-;-;1;2;3;8;5;7;4;4;5;8;6;1;2;2;2;1;1;-;-;62;-;-;-;1;2;5;10;9;14;6;4;9;13;6;1;3;3;2;1;2;-;-;91
2021;OPS-1-319;    Dickdarmmanometrie;-;-;-;-;-;1;2;3;4;3;1;2;3;2;1;2;1;1;1;-;-;-;27;-;1;-;-;4;2;4;3;2;2;8;4;9;5;4;4;3;1;3;1;-;-;60;-;1;-;-;4;3;6;6;6;5;9;6;12;7;5;6;4;2;4;1;-;-;87
2021;OPS-1-334;    Urodynamische Untersuchung;56;52;77;75;54;43;120;136;210;235;293;347;509;716;754;711;687;521;412;93;14;-;6115;42;46;66;41;24;37;88;88;108;145;168;233;339;364;336;369;339;327;270;102;15;1;3548;98;98;143;116;78;80;208;224;318;380;461;580;848;1080;1090;1080;1026;848;682;195;29;1;9663
2021;OPS-1-335;    Messung des Urethradruckprofils;-;2;3;1;3;-;1;4;12;9;11;9;37;76;98;125;108;70;33;8;2;-;612;-;-;6;4;1;2;9;13;14;23;22;43;40;63;42;45;58;40;45;22;1;1;494;-;2;9;5;4;2;10;17;26;32;33;52;77;139;140;170;166;110;78;30;3;1;1106
2021;OPS-1-336;    Harnröhrenkalibrierung;28;98;52;18;14;11;45;60;81;100;112;151;263;388;464;563;659;704;732;270;92;11;4916;4;32;45;24;19;21;53;65;80;77;109;113;162;211;265;247;223;245;319;156;47;6;2523;32;130;97;42;33;32;98;125;161;177;221;264;425;599;729;810;882;949;1051;426;139;17;7439
2021;OPS-1-40--1-49;  Biopsie ohne Inzision;591;2230;2585;4299;4026;2941;9289;11938;14847;17062;19480;24798;43718;66552;80245;85936;86683;79940;85037;36600;8888;1069;688754;457;1787;2131;4428;5639;4036;11572;12524;17172;20326;24171;29077;43666;55459;62730;69038;73279;77787;96283;50814;15255;2358;679990;1048;4017;4716;8727;9665;6977;20861;24462;32019;37388;43651;53875;87384;122011;142975;154974;159962;157727;181320;87414;24143;3427;1368744
2021;OPS-1-401;    Perkutane Biopsie an intrakraniellem Gewebe;-;1;-;-;2;-;2;3;5;1;11;4;5;8;13;15;6;5;9;1;-;-;91;-;-;1;-;2;-;3;2;1;3;6;7;7;10;3;5;8;6;8;3;-;-;75;-;1;1;-;4;-;5;5;6;4;17;11;12;18;16;20;14;11;17;4;-;-;166
2021;OPS-1-404;    Perkutane (Nadel-)Biopsie an intraspinalem Gewebe;-;-;-;-;-;-;-;-;3;4;4;4;-;8;4;-;5;4;4;-;-;-;40;-;-;-;-;-;-;-;-;1;3;-;2;7;4;5;5;3;6;4;1;-;-;41;-;-;-;-;-;-;-;-;4;7;4;6;7;12;9;5;8;10;8;1;-;-;81
2021;OPS-1-405;    Perkutane (Nadel-)Biopsie an peripheren Nerven;-;-;-;-;-;-;-;-;1;-;1;-;-;2;3;3;3;1;1;-;-;-;15;-;-;-;-;-;-;-;2;-;-;2;-;1;5;1;1;3;2;1;-;-;-;18;-;-;-;-;-;-;-;2;1;-;3;-;1;7;4;4;6;3;2;-;-;-;33
2021;OPS-1-406;    Perkutane (Nadel-)Biopsie an endokrinen Organen;-;-;-;-;-;1;-;-;3;1;7;8;15;28;17;24;28;20;23;11;2;1;189;-;-;-;-;2;1;2;2;4;2;3;13;17;15;22;32;37;19;22;5;1;-;199;-;-;-;-;2;2;2;2;7;3;10;21;32;43;39;56;65;39;45;16;3;1;388
2021;OPS-1-407;    Perkutane Biopsie an endokrinen Organen;-;1;-;1;-;1;1;2;6;4;5;7;25;41;69;80;64;57;48;17;2;1;432;-;1;-;1;-;3;3;2;2;5;12;13;37;42;47;48;54;46;53;22;3;-;394;-;2;-;2;-;4;4;4;8;9;17;20;62;83;116;128;118;103;101;39;5;1;826
2021;OPS-1-408;    Endosonographische Biopsie an endokrinen Organen;-;-;-;-;-;-;-;-;1;4;4;11;19;35;64;55;60;43;21;14;2;-;333;-;-;-;-;-;-;-;-;2;-;3;9;14;40;38;60;45;44;33;6;-;-;294;-;-;-;-;-;-;-;-;3;4;7;20;33;75;102;115;105;87;54;20;2;-;627
2021;OPS-1-410;    Biopsie ohne Inzision an der Ohrmuschel;-;-;-;-;-;-;2;1;3;-;3;2;5;18;12;20;50;86;154;112;46;8;522;-;-;1;-;-;1;-;1;3;3;1;-;8;6;4;11;5;17;24;18;11;1;115;-;-;1;-;-;1;2;2;6;3;4;2;13;24;16;31;55;103;178;130;57;9;637
2021;OPS-1-411;    Biopsie ohne Inzision am äußeren Gehörgang;-;1;-;2;-;1;-;3;2;5;2;1;5;7;4;9;11;14;14;9;8;2;100;-;3;4;1;-;-;-;1;-;-;1;1;-;4;-;4;4;5;5;4;1;-;38;-;4;4;3;-;1;-;4;2;5;3;2;5;11;4;13;15;19;19;13;9;2;138
2021;OPS-1-412;    Biopsie ohne Inzision an Augenlid und Augenbraue;1;-;-;1;-;-;1;-;-;-;1;2;4;11;6;7;17;15;26;16;6;1;115;1;-;-;-;-;-;-;-;3;-;-;-;3;3;5;6;15;14;26;25;12;3;116;2;-;-;1;-;-;1;-;3;-;1;2;7;14;11;13;32;29;52;41;18;4;231
2021;OPS-1-413;    Biopsie ohne Inzision an Konjunktiva und Kornea;1;2;-;2;-;1;3;10;5;9;10;8;11;10;18;18;15;25;19;19;1;-;187;-;2;-;1;1;1;4;8;3;3;5;3;12;9;13;10;20;17;23;16;16;2;169;1;4;-;3;1;2;7;18;8;12;15;11;23;19;31;28;35;42;42;35;17;2;356
2021;OPS-1-414;    Biopsie ohne Inzision an der Nase;10;7;5;8;6;1;11;26;38;46;65;47;96;160;114;115;117;110;128;50;15;4;1179;4;4;6;6;5;3;9;18;27;24;33;47;63;108;92;94;83;92;94;51;16;8;887;14;11;11;14;11;4;20;44;65;70;98;94;159;268;206;209;200;202;222;101;31;12;2066
2021;OPS-1-415;    Biopsie ohne Inzision an der Gesichtshaut;2;3;4;7;-;7;18;9;16;20;20;35;71;116;145;218;396;639;1071;661;236;47;3741;1;4;1;2;5;5;7;12;23;17;21;25;71;99;106;137;229;317;562;384;210;65;2303;3;7;5;9;5;12;25;21;39;37;41;60;142;215;251;355;625;956;1633;1045;446;112;6044
2021;OPS-1-420;    Biopsie ohne Inzision an Mund und Mundhöhle;-;4;7;11;8;8;28;57;84;120;216;283;804;1164;1366;1155;742;474;403;160;38;7;7139;6;7;4;6;2;4;39;65;69;107;180;216;447;597;621;542;455;320;365;164;56;14;4286;6;11;11;17;10;12;67;122;153;227;396;499;1251;1761;1987;1697;1197;794;768;324;94;21;11425
2021;OPS-1-421;    Biopsie ohne Inzision am Larynx;1;2;4;2;2;2;11;33;66;91;178;270;655;1115;1492;1298;1007;737;520;184;40;5;7715;-;4;-;1;4;6;8;29;45;61;98;149;284;416;443;355;263;200;131;55;16;1;2569;1;6;4;3;6;8;19;62;111;152;276;419;939;1531;1935;1653;1270;937;651;239;56;6;10284
2021;OPS-1-422;    Biopsie ohne Inzision am Pharynx;1;6;8;5;11;14;71;120;165;244;377;572;1220;1942;2435;2174;1540;993;667;232;45;3;12845;-;6;7;16;9;26;74;84;112;153;231;322;573;799;989;799;605;411;302;106;32;1;5657;1;12;15;21;20;40;145;204;277;397;608;894;1793;2741;3424;2973;2145;1404;969;338;77;4;18502
2021;OPS-1-424;    Biopsie ohne Inzision am Knochenmark;142;778;537;527;319;213;417;453;555;620;710;978;1606;2723;3327;3829;3795;3553;3650;1324;186;10;30252;152;611;393;346;268;135;304;330;469;513;705;858;1476;1973;2558;2921;2863;2875;3124;1198;160;19;24251;294;1389;930;873;587;348;721;783;1024;1133;1415;1836;3082;4696;5885;6750;6658;6428;6774;2522;346;29;54503
2021;OPS-1-425;    (Perkut.) (Nadel-)Biopsie a.Lymphkn.,Milz u.Thymus;-;5;2;3;3;8;34;70;72;114;116;152;330;585;725;837;797;635;602;184;29;4;5307;-;4;4;4;3;3;24;40;58;72;83;153;276;460;513;591;512;465;435;144;36;5;3885;-;9;6;7;6;11;58;110;130;186;199;305;606;1045;1238;1428;1309;1100;1037;328;65;9;9192
2021;OPS-1-426;    (Perkut.)Biopsie a.Lymphkn.,Milz u.Thymus,bildg.V.;1;5;1;4;11;36;207;438;567;681;838;1213;2380;4017;5091;5367;5237;4221;3417;925;141;8;34806;1;1;-;8;12;21;111;190;311;380;518;816;1583;2476;3335;3487;3416;2781;2235;603;72;4;22361;2;6;1;12;23;57;318;628;878;1061;1356;2029;3963;6493;8426;8854;8653;7002;5652;1528;213;12;57167
