ZE;Bezeichnung;ZED;OPS-Kode;OPS-Text;Betrag
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.07;8-812.58;8.500 IE bis unter 9.500 IE;2.016,12 €
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.08;8-812.59;9.500 IE bis unter 10.500 IE;2.241,42 €
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.09;8-812.5a;10.500 IE bis unter 15.500 IE;2.777,65 €
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.10;8-812.5b;15.500 IE bis unter 20.500 IE;3.919,15 €
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.11;8-812.5c;20.500 IE bis unter 25.500 IE;5.060,65 €
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.12;8-812.5d;25.500 IE bis unter 30.500 IE;6.202,15 €
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.13;;Siehe weitere Differenzierung ZE30.14 - ZE30.23;
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.14;8-812.5f;30.500 IE bis unter 40.500 IE;7.533,90 €
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.15;8-812.5g;40.500 IE bis unter 50.500 IE;9.816,90 €
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.16;8-812.5h;50.500 IE bis unter 60.500 IE;12.099,90 €
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.17;8-812.5j;60.500 IE bis unter 80.500 IE;14.953,65 €
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.18;8-812.5k;80.500 IE bis unter 100.500 IE;19.519,65 €
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.19;8-812.5m;100.500 IE bis unter 120.500 IE;24.085,65 €
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.20;8-812.5n;120.500 IE bis unter 140.500 IE;28.651,65 €
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.21;8-812.5p;140.500 IE bis unter 160.500 IE;33.217,65 €
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.22;8-812.5q;160.500 IE bis unter 200.500 IE;38.925,15 €
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.23;8-812.5r;200.500 IE oder mehr;48.057,15 €
ZE36;Plasmapherese;;;Therapeutische Plasmapherese;Therapeutische Plasmapherese
ZE36;Plasmapherese;ZE36.01;8-820.00;1 Plasmapherese;1.099,79 €
ZE36;Plasmapherese;ZE36.01;8-820.10;1 Plasmapherese;1099,79
ZE36;Plasmapherese;ZE36.01;8-820.20;1 Plasmapherese;1099,79
ZE36;Plasmapherese;ZE36.01;8-826.*0;1 Doppelfiltrationsplasmapherese;1099,79
ZE36;Plasmapherese;ZE36.02;8-820.01;2 Plasmapheresen;2.199,58 €
ZE36;Plasmapherese;ZE36.02;8-820.11;2 Plasmapheresen;2199,58
ZE36;Plasmapherese;ZE36.02;8-820.21;2 Plasmapheresen;2199,58
ZE36;Plasmapherese;ZE36.02;8-826.*1;2 Doppelfiltrationsplasmapheresen;2199,58
ZE36;Plasmapherese;ZE36.03;8-820.02;3 Plasmapheresen;3.299,37 €
ZE36;Plasmapherese;ZE36.03;8-820.12;3 Plasmapheresen;3299,37
ZE36;Plasmapherese;ZE36.03;8-820.22;3 Plasmapheresen;3299,37
ZE36;Plasmapherese;ZE36.03;8-826.*2;3 Doppelfiltrationsplasmapheresen;3299,37
ZE36;Plasmapherese;ZE36.04;8-820.03;4 Plasmapheresen;4.399,16 €
ZE36;Plasmapherese;ZE36.04;8-820.13;4 Plasmapheresen;4399,16
ZE36;Plasmapherese;ZE36.04;8-820.23;4 Plasmapheresen;4399,16
ZE36;Plasmapherese;ZE36.04;8-826.*3;4 Doppelfiltrationsplasmapheresen;4399,16
ZE36;Plasmapherese;ZE36.05;8-820.04;5 Plasmapheresen;5.498,95 €
ZE36;Plasmapherese;ZE36.05;8-820.14;5 Plasmapheresen;5498,95
ZE36;Plasmapherese;ZE36.05;8-820.24;5 Plasmapheresen;5498,95
ZE36;Plasmapherese;ZE36.05;8-826.*4;5 Doppelfiltrationsplasmapheresen;5498,95
ZE36;Plasmapherese;ZE36.06;8-820.08;6 Plasmapheresen;6.598,74 €
ZE36;Plasmapherese;ZE36.06;8-820.18;6 Plasmapheresen;6598,74
ZE36;Plasmapherese;ZE36.06;8-820.25;6 Plasmapheresen;6598,74
ZE36;Plasmapherese;ZE36.06;8-826.*5;6 Doppelfiltrationsplasmapheresen;6598,74
ZE36;Plasmapherese;ZE36.07;8-820.09;7 Plasmapheresen;7.698,53 €
ZE36;Plasmapherese;ZE36.07;8-820.19;7 Plasmapheresen;7698,53
ZE36;Plasmapherese;ZE36.07;8-820.26;7 Plasmapheresen;7698,53
ZE36;Plasmapherese;ZE36.07;8-826.*6;7 Doppelfiltrationsplasmapheresen;7698,53
ZE36;Plasmapherese;ZE36.08;8-820.0a;8 Plasmapheresen;8.798,32 €
ZE36;Plasmapherese;ZE36.08;8-820.1a;8 Plasmapheresen;8798,32
ZE36;Plasmapherese;ZE36.08;8-820.27;8 Plasmapheresen;8798,32
ZE36;Plasmapherese;ZE36.08;8-826.*7;8 Doppelfiltrationsplasmapheresen;8798,32
ZE36;Plasmapherese;ZE36.09;8-820.0b;9 Plasmapheresen;9.898,11 €
ZE36;Plasmapherese;ZE36.09;8-820.1b;9 Plasmapheresen;9898,11
ZE36;Plasmapherese;ZE36.09;8-820.28;9 Plasmapheresen;9898,11
ZE36;Plasmapherese;ZE36.09;8-826.*8;9 Doppelfiltrationsplasmapheresen;9898,11
ZE36;Plasmapherese;ZE36.10;8-820.0c;10 Plasmapheresen;10.997,90 €
ZE36;Plasmapherese;ZE36.10;8-820.1c;10 Plasmapheresen;10997,9
ZE36;Plasmapherese;ZE36.10;8-820.29;10 Plasmapheresen;10997,9
ZE36;Plasmapherese;ZE36.10;8-826.*9;10 Doppelfiltrationsplasmapheresen;10997,9
ZE36;Plasmapherese;ZE36.11;8-820.0d;11 Plasmapheresen;12.097,69 €
ZE36;Plasmapherese;ZE36.11;8-820.1d;11 Plasmapheresen;12097,69
ZE36;Plasmapherese;ZE36.11;8-820.2a;11 Plasmapheresen;12097,69
ZE36;Plasmapherese;ZE36.11;8-826.*a;11 Doppelfiltrationsplasmapheresen;12097,69
ZE36;Plasmapherese;ZE36.12;8-820.0e;12 Plasmapheresen;13.197,48 €
ZE36;Plasmapherese;ZE36.12;8-820.1e;12 Plasmapheresen;13197,48
ZE36;Plasmapherese;ZE36.12;8-820.2b;12 Plasmapheresen;13197,48
ZE36;Plasmapherese;ZE36.12;8-826.*b;12 Doppelfiltrationsplasmapheresen;13197,48
ZE36;Plasmapherese;ZE36.13;8-820.0f;13 Plasmapheresen;14.297,27 €
ZE36;Plasmapherese;ZE36.13;8-820.1f;13 Plasmapheresen;14297,27
ZE36;Plasmapherese;ZE36.13;8-820.2c;13 Plasmapheresen;14297,27
ZE36;Plasmapherese;ZE36.13;8-826.*c;13 Doppelfiltrationsplasmapheresen;14297,27
ZE36;Plasmapherese;ZE36.14;8-820.0g;14 Plasmapheresen;15.397,06 €
ZE36;Plasmapherese;ZE36.14;8-820.1g;14 Plasmapheresen;15397,06
ZE36;Plasmapherese;ZE36.14;8-820.2d;14 Plasmapheresen;15397,06
ZE36;Plasmapherese;ZE36.14;8-826.*d;14 Doppelfiltrationsplasmapheresen;15397,06
ZE36;Plasmapherese;ZE36.15;8-820.0h;15 Plasmapheresen;16.496,85 €
ZE36;Plasmapherese;ZE36.15;8-820.1h;15 Plasmapheresen;16496,85
ZE36;Plasmapherese;ZE36.15;8-820.2e;15 Plasmapheresen;16496,85
ZE36;Plasmapherese;ZE36.15;8-826.*e;15 Doppelfiltrationsplasmapheresen;16496,85
ZE36;Plasmapherese;ZE36.16;8-820.0j;16 bis 17 Plasmapheresen;18.146,54 €
ZE36;Plasmapherese;ZE36.16;8-820.1j;16 bis 17 Plasmapheresen;18146,54
ZE36;Plasmapherese;ZE36.16;8-820.2f;16 bis 17 Plasmapheresen;18146,54
ZE36;Plasmapherese;ZE36.16;8-826.*f;16 bis 17 Doppelfiltrationsplasmapheresen;18146,54
ZE36;Plasmapherese;ZE36.17;8-820.0k;18 bis 19 Plasmapheresen;20.346,12 €
ZE36;Plasmapherese;ZE36.17;8-820.1k;18 bis 19 Plasmapheresen;20346,12
ZE36;Plasmapherese;ZE36.17;8-820.2g;18 bis 19 Plasmapheresen;20346,12
ZE36;Plasmapherese;ZE36.17;8-826.*g;18 bis 19 Doppelfiltrationsplasmapheresen;20346,12
ZE36;Plasmapherese;ZE36.18;8-820.0m;20 bis 21 Plasmapheresen;22.545,70 €
ZE36;Plasmapherese;ZE36.18;8-820.1m;20 bis 21 Plasmapheresen;22545,7
ZE36;Plasmapherese;ZE36.18;8-820.2h;20 bis 21 Plasmapheresen;22545,7
ZE36;Plasmapherese;ZE36.18;8-826.*h;20 bis 21 Doppelfiltrationsplasmapheresen;22545,7
ZE36;Plasmapherese;ZE36.19;8-820.0n;22 bis 23 Plasmapheresen;24.745,28 €
ZE36;Plasmapherese;ZE36.19;8-820.1n;22 bis 23 Plasmapheresen;24745,28
ZE36;Plasmapherese;ZE36.19;8-820.2j;22 bis 23 Plasmapheresen;24745,28
ZE36;Plasmapherese;ZE36.19;8-826.*j;22 bis 23 Doppelfiltrationsplasmapheresen;24745,28
ZE36;Plasmapherese;ZE36.20;8-820.0p;24 bis 25 Plasmapheresen;26.944,86 €
ZE36;Plasmapherese;ZE36.20;8-820.1p;24 bis 25 Plasmapheresen;26944,86
ZE36;Plasmapherese;ZE36.20;8-820.2k;24 bis 25 Plasmapheresen;26944,86
ZE36;Plasmapherese;ZE36.20;8-826.*k;24 bis 25 Doppelfiltrationsplasmapheresen;26944,86
ZE36;Plasmapherese;ZE36.21;8-820.0q;26 bis 28 Plasmapheresen;29.694,33 €
ZE36;Plasmapherese;ZE36.21;8-820.1q;26 bis 28 Plasmapheresen;29694,33
ZE36;Plasmapherese;ZE36.21;8-820.2m;26 bis 28 Plasmapheresen;29694,33
ZE36;Plasmapherese;ZE36.21;8-826.*m;26 bis 28 Doppelfiltrationsplasmapheresen;29694,33
ZE36;Plasmapherese;ZE36.22;8-820.0r;29 bis 31 Plasmapheresen;32.993,70 €
ZE36;Plasmapherese;ZE36.22;8-820.1r;29 bis 31 Plasmapheresen;32993,7
ZE36;Plasmapherese;ZE36.22;8-820.2n;29 bis 31 Plasmapheresen;32993,7
ZE36;Plasmapherese;ZE36.22;8-826.*n;29 bis 31 Doppelfiltrationsplasmapheresen;32993,7
ZE36;Plasmapherese;ZE36.23;8-820.0s;32 bis 34 Plasmapheresen;36.293,07 €
ZE36;Plasmapherese;ZE36.23;8-820.1s;32 bis 34 Plasmapheresen;36293,07
ZE36;Plasmapherese;ZE36.23;8-820.2p;32 bis 34 Plasmapheresen;36293,07
ZE36;Plasmapherese;ZE36.23;8-826.*p;32 bis 34 Doppelfiltrationsplasmapheresen;36293,07
ZE36;Plasmapherese;ZE36.24;8-820.0t;35 bis 39 Plasmapheresen;40.692,23 €
ZE36;Plasmapherese;ZE36.24;8-820.1t;35 bis 39 Plasmapheresen;40692,23
ZE36;Plasmapherese;ZE36.24;8-820.2q;35 bis 39 Plasmapheresen;40692,23
ZE36;Plasmapherese;ZE36.24;8-826.*q;35 bis 39 Doppelfiltrationsplasmapheresen;40692,23
ZE36;Plasmapherese;ZE36.25;8-820.0u;40 bis 44 Plasmapheresen;46.191,18 €
ZE36;Plasmapherese;ZE36.25;8-820.1u;40 bis 44 Plasmapheresen;46191,18
ZE36;Plasmapherese;ZE36.25;8-820.2r;40 bis 44 Plasmapheresen;46191,18
ZE36;Plasmapherese;ZE36.25;8-826.*r;40 bis 44 Doppelfiltrationsplasmapheresen;46191,18
ZE36;Plasmapherese;ZE36.26;8-820.0v;45 bis 49 Plasmapheresen;51.690,13 €
ZE36;Plasmapherese;ZE36.26;8-820.1v;45 bis 49 Plasmapheresen;51690,13
ZE36;Plasmapherese;ZE36.26;8-820.2s;45 bis 49 Plasmapheresen;51690,13
ZE36;Plasmapherese;ZE36.26;8-826.*s;45 bis 49 Doppelfiltrationsplasmapheresen;51690,13
ZE36;Plasmapherese;ZE36.27;8-820.0w;50 oder mehr Plasmapheresen;57.189,08 €
ZE36;Plasmapherese;ZE36.27;8-820.1w;50 oder mehr Plasmapheresen;57189,08
ZE36;Plasmapherese;ZE36.27;8-820.2t;50 oder mehr Plasmapheresen;57189,08
ZE36;Plasmapherese;ZE36.27;8-826.*t;50 oder mehr Doppelfiltrationsplasmapheresen;57189,08
ZE37;Extrakorporale Photopherese;;8-824;Photopherese;siehe Anlage 2
ZE44;Gabe von Topotecan, parenteral;;;Applikation von Medikamenten, Liste 2: Topotecan, parenteral;Applikation von Medikamenten, Liste 2: Topotecan, parenteral
ZE44;Gabe von Topotecan, parenteral;ZE44.01;6-002.4c;30,0 mg bis unter 40,0 mg;93,26 €
ZE44;Gabe von Topotecan, parenteral;ZE44.02;6-002.4d;40,0 mg bis unter 50,0 mg;121,24 €
ZE44;Gabe von Topotecan, parenteral;ZE44.03;6-002.4e;50,0 mg bis unter 60,0 mg;149,22 €
ZE44;Gabe von Topotecan, parenteral;ZE44.04;6-002.4f;60,0 mg bis unter 70,0 mg;177,20 €
ZE44;Gabe von Topotecan, parenteral;ZE44.05;6-002.4g;70,0 mg oder mehr;205,18 €
ZE47;Gabe von Antithrombin III, parenteral;;;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Antithrombin III;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Antithrombin III
ZE47;Gabe von Antithrombin III, parenteral;ZE47.016);8-810.g1;2.000 IE bis unter 3.500 IE;148,75 €
ZE47;Gabe von Antithrombin III, parenteral;ZE47.026);8-810.g2;3.500 IE bis unter 5.000 IE;238,00 €
ZE47;Gabe von Antithrombin III, parenteral;ZE47.036);8-810.g3;5.000 IE bis unter 7.000 IE;337,17 €
ZE47;Gabe von Antithrombin III, parenteral;ZE47.04;8-810.g4;7.000 IE bis unter 10.000 IE;476,00 €
ZE47;Gabe von Antithrombin III, parenteral;ZE47.05;8-810.g5;10.000 IE bis unter 15.000 IE;694,17 €
ZE47;Gabe von Antithrombin III, parenteral;ZE47.06;8-810.g6;15.000 IE bis unter 20.000 IE;991,67 €
ZE47;Gabe von Antithrombin III, parenteral;ZE47.07;8-810.g7;20.000 IE bis unter 25.000 IE;1.289,17 €
ZE47;Gabe von Antithrombin III, parenteral;ZE47.08;8-810.g8;25.000 IE bis unter 30.000 IE;1.586,67 €
ZE47;Gabe von Antithrombin III, parenteral;ZE47.09;8-810.ga;30.000 IE bis unter 40.000 IE;1.983,33 €
ZE47;Gabe von Antithrombin III, parenteral;ZE47.10;8-810.gb;40.000 IE bis unter 50.000 IE;2.578,33 €
ZE47;Gabe von Antithrombin III, parenteral;ZE47.11;8-810.gc;50.000 IE bis unter 60.000 IE;3.173,33 €
ZE47;Gabe von Antithrombin III, parenteral;ZE47.12;8-810.gd;60.000 IE bis unter 70.000 IE;3.768,33 €
ZE47;Gabe von Antithrombin III, parenteral;ZE47.13;8-810.ge;70.000 IE bis unter 90.000 IE;4.561,67 €
ZE47;Gabe von Antithrombin III, parenteral;ZE47.14;8-810.gf;90.000 IE bis unter 110.000 IE;5.751,67 €
ZE47;Gabe von Antithrombin III, parenteral;ZE47.15;8-810.gg;110.000 IE bis unter 130.000 IE;6.941,67 €
ZE47;Gabe von Antithrombin III, parenteral;ZE47.16;8-810.gh;130.000 IE bis unter 150.000 IE;8.131,67 €
ZE47;Gabe von Antithrombin III, parenteral;ZE47.17;8-810.gj;150.000 IE oder mehr;9.321,67 €
ZE48;Gabe von Aldesleukin, parenteral;;;Applikation von Medikamenten, Liste 1: Aldesleukin, parenteral;Applikation von Medikamenten, Liste 1: Aldesleukin, parenteral
ZE48;Gabe von Aldesleukin, parenteral;ZE48.01;6-001.80;45 Mio. IE bis unter 65 Mio. IE;1.032,53 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.02;6-001.81;65 Mio. IE bis unter 85 Mio. IE;1.432,22 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.03;6-001.82;85 Mio. IE bis unter 105 Mio. IE;1.831,90 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.04;6-001.83;105 Mio. IE bis unter 125 Mio. IE;2.231,59 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.05;6-001.84;125 Mio. IE bis unter 145 Mio. IE;2.631,28 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.06;6-001.85;145 Mio. IE bis unter 165 Mio. IE;3.030,97 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.07;6-001.86;165 Mio. IE bis unter 185 Mio. IE;3.430,66 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.08;6-001.87;185 Mio. IE bis unter 205 Mio. IE;3.830,34 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.09;6-001.88;205 Mio. IE bis unter 245 Mio. IE;4.363,26 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.10;6-001.89;245 Mio. IE bis unter 285 Mio. IE;5.162,64 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.11;6-001.8a;285 Mio. IE bis unter 325 Mio. IE;5.962,01 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.12;6-001.8b;325 Mio. IE bis unter 365 Mio. IE;6.761,39 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.13;6-001.8c;365 Mio. IE bis unter 405 Mio. IE;7.560,76 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.14;6-001.8d;405 Mio. IE bis unter 445 Mio. IE;8.360,14 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.15;6-001.8e;445 Mio. IE bis unter 485 Mio. IE;9.159,52 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.16;6-001.8f;485 Mio. IE bis unter 525 Mio. IE;9.958,89 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.17;6-001.8g;525 Mio. IE bis unter 565 Mio. IE;10.758,27 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.18;6-001.8h;565 Mio. IE bis unter 625 Mio. IE;11.690,87 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.19;6-001.8j;625 Mio. IE bis unter 685 Mio. IE;12.889,94 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.20;6-001.8k;685 Mio. IE bis unter 745 Mio. IE;14.089,00 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.21;6-001.8m;745 Mio. IE bis unter 805 Mio. IE;15.288,07 €
ZE48;Gabe von Aldesleukin, parenteral;ZE48.22;6-001.8n;805 Mio. IE oder mehr;16.487,13 €
ZE50;Gabe von Cetuximab, parenteral;;;Applikation von Medikamenten, Liste 1: Cetuximab, parenteral;Applikation von Medikamenten, Liste 1: Cetuximab, parenteral
ZE50;Gabe von Cetuximab, parenteral;ZE50.01;6-001.a0;250 mg bis unter 350 mg;721,82 €
ZE50;Gabe von Cetuximab, parenteral;ZE50.02;6-001.a1;350 mg bis unter 450 mg;976,58 €
ZE50;Gabe von Cetuximab, parenteral;ZE50.03;6-001.a2;450 mg bis unter 550 mg;1.231,34 €
ZE50;Gabe von Cetuximab, parenteral;ZE50.04;6-001.a3;550 mg bis unter 650 mg;1.486,10 €
ZE50;Gabe von Cetuximab, parenteral;ZE50.05;6-001.a4;650 mg bis unter 750 mg;1.740,86 €
ZE50;Gabe von Cetuximab, parenteral;ZE50.06;6-001.a5;750 mg bis unter 850 mg;1.995,62 €
ZE50;Gabe von Cetuximab, parenteral;ZE50.07;6-001.a6;850 mg bis unter 1.050 mg;2.335,30 €
ZE50;Gabe von Cetuximab, parenteral;ZE50.08;6-001.a7;1.050 mg bis unter 1.250 mg;2.844,82 €
ZE50;Gabe von Cetuximab, parenteral;ZE50.09;6-001.a8;1.250 mg bis unter 1.450 mg;3.354,34 €
ZE50;Gabe von Cetuximab, parenteral;ZE50.10;6-001.a9;1.450 mg bis unter 1.650 mg;3.863,86 €
ZE50;Gabe von Cetuximab, parenteral;ZE50.11;6-001.aa;1.650 mg bis unter 1.850 mg;4.373,38 €
ZE50;Gabe von Cetuximab, parenteral;ZE50.12;6-001.ab;1.850 mg bis unter 2.150 mg;4.967,82 €
ZE50;Gabe von Cetuximab, parenteral;ZE50.13;6-001.ac;2.150 mg bis unter 2.450 mg;5.732,10 €
ZE50;Gabe von Cetuximab, parenteral;ZE50.14;6-001.ad;2.450 mg bis unter 2.750 mg;6.496,38 €
ZE50;Gabe von Cetuximab, parenteral;ZE50.15;6-001.ae;2.750 mg bis unter 3.050 mg;7.260,66 €
ZE50;Gabe von Cetuximab, parenteral;ZE50.16;6-001.af;3.050 mg bis unter 3.350 mg;8.024,94 €
