DRG;Partition;Bezeichnung;Bewertungsrelation bei Hauptabteilung;Bewertungsrelation bei Hauptabteilung und Beleghebamme;Mittlere Verweildauer;Untere Grenzverweildauer;Untere Grenzverweildauer: Bewertungsrelation pro Tag;Obere Grenzverweildauer;Obere Grenzverweildauer: Bewertungsrelation pro Tag;Externe Verlegung Abschlag pro Tag;Verlegungsfallpauschale;Ausnahme von Wiederaufnahme;Pflegeerlös Bewertungsrelation pro Tag
A04E;O;Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom;9,523;;34,6;11;0,763;50;0,265;;x;x;1,9827
A05Z;O;Herztransplantation;24,494;;85,5;28;0,608;104;0,237;;x;x;2,0355
A06A;O;Beatmung > 1799 Stunden mit intensivmedizinischer Komplexbehandlung > 2940 / 5520 / 5520 Aufwandspunkte oder mit hochkomplexem Eingriff;42,644;;118,2;;;136;0,361;;x;x;4,4532
A06B;O;Beatmung > 1799 Stunden mit komplexer OR-Prozedur oder Polytrauma, ohne hochkomplexen Eingriff, ohne intensivmedizinische Komplexbehandlung > 2940 / 5520 / 5520 Aufwandspunkte;34,568;;102,7;;;121;0,296;;x;x;3,9580
A06C;O;Beatmung > 1799 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, mit intensivmedizinischer Komplexbehandlung > 588 / 552 / 552 Aufwandspunkte;23,352;;103,4;;;121;0,192;;x;x;3,5469
A07A;O;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 / 4600 Aufwandspunkte, mit komplexer OR-Prozedur oder Polytrauma und int. Komplexbeh. > 3920 / 3680 / 3680 P. oder mit hochkompl. oder dreizeitigem Eingr.;30,860;;76,5;25;0,950;95;0,334;;x;x;4,0207
A07B;O;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 / 4600 P., mit komplexer OR-Prozedur und ECMO ab 384 Stunden oder mit Polytrauma oder Alter < 16 J. oder intensivmed. Komplexbeh. > - / 3220 / - P.;25,437;;68,9;22;0,966;87;0,322;;x;x;4,0529
A07C;O;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmed. Komplexbeh. > 4900 / 4600 / 4600 Punkte, mit komplexer OR-Prozedur, ohne ECMO ab 384 Stunden, ohne Polytrauma, Alter > 15 Jahre oder mit intensivmed. Komplexbeh. > 2352 / 1932 / 2760 Punkte;20,113;;65,2;21;0,828;83;0,229;0,275;;x;3,7901
A07D;O;Beatmung > 999 Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, mit intensivmedizinischer Komplexbehandlung > 1176 / 1380 / 2484 und < 2353 / 1933 / 2761 Aufwandspunkte, mit komplexer Diagnose oder komplizierender Konstellation;16,240;;53,2;17;0,841;71;0,199;0,279;;x;3,8556
A07E;O;Beatmung > 999 Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplexe Diagnose, ohne komplizierende Konstellation, mit intensivmedizinischer Komplexbehandlung > 392 / 184 / 368 Aufwandspunkte oder Beatmung > 1799 Stunden;12,875;;61,6;20;0,594;80;0,142;0,199;;x;3,2201
A07F;O;Beatmung > 999 Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplexe Diagnose, ohne komplizierende Konstellation, ohne intensivmedizinische Komplexbehandlung > 392 / 184 / 368 Aufwandspunkte, ohne Beatmung > 1799 Stunden;9,996;;60,5;19;0,484;78;0,112;0,157;;x;2,6874
A09A;O;Beatmung > 499 Stunden oder > 249 Stunden mit IntK > 2352 / 1932 / 2208 P., mit hochkomplexem Eingriff oder komplexer OR-Prozedur, Alter < 16 Jahre, mit IntK > 1764 / 1932 / - Punkten oder mit sehr komplexem Eingriff und IntK > - / 2208 / - Punkten;22,731;;56,2;18;0,957;74;0,324;;x;x;3,7371
A09B;O;Beatmung > 499 Stunden oder > 249 Stunden mit int. Komplexbeh. > 2352 / 1932 / 2208 Punkte, mit angeb. Fehlbild. oder Tumorerkr., Alter < 3 J. oder mit hochkompl. Eingr. oder mit kompl. OR-Proz. oder int. Komplexbeh. > 1764 / 1932 / - P., Alter < 16 J.;15,155;;39,8;12;0,961;58;0,314;;x;x;3,7698
A09C;O;Beatmung > 499 Stunden oder > 249 Stunden mit intensivmedizinischer Komplexbeh. > 2352 / 1932 / 2208 P., mit komplexer OR-Prozedur oder Polytrauma oder int. Komplexbeh. > 1764 / 1656 / 2208 P. oder mit komplizierender Konstellation oder Alter < 16 Jahre;12,306;;34,3;10;0,961;52;0,244;;x;x;3,8062
A09D;O;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, mit intensivmedizinischer Komplexbehandlung > 1470 / 1380 / 1656 und < 1765 / 1657 / 2209 Aufwandspunkte;11,894;;44,1;14;0,733;62;0,174;0,244;;x;3,3639
A09E;O;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, mit intensivmedizinischer Komplexbehandlung > 1176 / 1104 / 1380 u. < 1471 / 1381 / 1657 Punkte, mit komplexer Diagnose oder Prozedur;9,344;;31,9;10;0,809;48;0,196;0,271;;x;3,7088
A09F;O;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, ohne intensivmedizinische Komplexbehandlung > 1176 / 1104 / 1380 Aufwandspunkte, ohne komplexe Diagnose oder Prozedur;8,373;;31,9;10;0,714;50;0,172;0,239;;x;3,0423
A11A;O;Beatmung > 249 Stunden oder > 95 Stunden mit intensivmedizinischer Komplexbehandlung > 1764 / 1656 / 1932 Aufwandspunkte, mit kompliz. Konstellation und best. OR-Prozedur, Alter < 16 Jahre oder mit intensivmed. Komplexbeh. > 1764 / 1656 / 2208 Aufwandsp.;18,993;;47,3;15;0,894;65;0,302;0,296;;x;3,5480
A11B;O;Beatmung > 249 Stunden oder > 95 Stunden mit intensivmedizinischer Komplexbehandlung > 1764 / 1656 / 1656 Aufwandspunkte, mit hochkomplexem Eingriff oder best. Eingriff und best. intensivmed. Komplexbeh. oder Alter < 2 Jahre bei angeborener Fehlbildung;14,691;;35,0;11;0,858;53;0,294;;x;x;3,5704
A11C;O;Beatmung > 249 Stunden oder > 95 Stunden mit intensivmed. Komplexbehandlung > 1764 / 1656 / 1656 Punkte, mit komplexer OR-Prozedur, Alter < 16 Jahre oder komplizierende Konstellation;9,834;;23,4;7;0,858;41;0,293;;x;x;3,2592
A11D;O;Beatmung > 249 h oder > 95 h mit IntK > 1764 / 1656 / 1656 P. mit best. OR-Prozeduren u. kompliz. Konstell. oder EHEC oder generalisierte Mukositis ohne IntK > 1764 / 1656 / 1932 P. oder mit kompl. Diagnose u. Alter < 3 J. oder IntK > 980 / 1104 / - P.;9,098;;26,1;8;0,799;44;0,275;;x;x;3,2354
A11E;O;Beatmung > 249 Stunden, mit komplexer OR-Prozedur, ohne hochkomplexen Eingriff, ohne int. Komplexbeh. > 1764 / 1656 / 1656 P., ohne kompliz. Konstellation, Alter > 15 Jahre oder mit intensivmedizinischer Komplexbehandlung > 588 / 828 / - Aufwandspunkte;6,791;;21,6;6;0,878;38;0,199;;x;x;3,4279
A11F;O;Beatmung > 249 Stunden oder > 95 Stunden mit intensivmedizinischer Komplexbehandlung > 1764 / 1656 / 1656 Aufwandspunkte, mit bestimmter OR-Prozedur oder kompliz. Konstellation oder intensivmed. Komplexbehandlung > - / - / 1104 P. oder Alter < 6 Jahre;6,359;;21,7;6;0,769;40;0,174;0,237;;x;3,3389
A11G;O;Beatmung > 249 Stunden, ohne komplexe oder bestimmte OR-Prozedur, ohne intensivmed. Komplexbehandlung > 588 / 828 / 1104 Punkte, ohne kompliz. Konstellation, Alter > 5 Jahre, mit kompl. Diagnose oder Prozedur oder Alter < 16 J. oder äußerst schwere CC;5,895;;23,6;7;0,705;42;0,168;0,230;;x;2,9573
A11H;O;Beatmung > 249 Stunden, ohne komplexe oder bestimmte OR-Prozedur, ohne IntK > 588 / 828 / 1104 Punkte, ohne komplizierende Konstellation, Alter > 15 Jahre, ohne komplexe Diagnose oder Prozedur, ohne äußerst schwere CC;4,092;;19,5;6;0,566;36;0,142;0,193;;x;3,1435
A13A;O;Beatmung > 95 Std. mit hochkompl. Eingriff oder mit int. Komplexbeh. > 1176 / 1380 / - P. oder mit kompl. OR-Prozedur oder bei Lymphom und Leukämie und int. Komplexbeh. > - / 1104 / 1104 P. oder mit kompliz. Konst. u. best. OR-Proz., Alter < 16 Jahre;11,359;;33,3;10;0,847;51;0,280;;x;x;3,2804
A13B;O;Beatmung > 95 Stunden mit sehr komplexem Eingriff oder mit komplexer OR-Prozedur und komplizierender Konstellation oder mit best. OR-Proz. und kompliz. Konst., Alter < 16 Jahre od. mit intensivmed. Komplexbeh. > - / 1104 / 1104 Punkte und kompliz. Konst.;8,617;;22,9;7;0,724;41;0,253;;x;x;2,8661
A13C;O;Beatmung > 95 Stunden mit komplexer OR-Prozedur, Alter < 6 Jahre oder mit bestimmter OR-Proz. und kompliz. Konstellation od. mit intensivmed. Komplexbeh. > - / - / 1104 Punkte od. Alter < 16 J., außer bei Lymphom und Leukämie, ohne kompliz. Konstellation;7,673;;26,5;8;0,664;45;0,191;;x;x;2,7441
A13D;O;Beatmung > 95 Stunden mit komplexer OR-Prozedur, Alter > 5 Jahre oder mit IntK > - / 828 / - Punkte oder kompl. OR-Prozedur od. mit best. OR-Prozedur od. kompliz. Konst. od. mit IntK > 588 / 552 / 552 Punkte od. Alter < 16 Jahre bei bösartiger Neubildung;6,072;;19,0;5;0,707;37;0,156;;x;x;2,6225
A13E;O;Beatmung > 95 Stunden, ohne komplexe OR-Prozedur, mit bestimmter OR-Prozedur oder komplizierender Konstellation oder mit intensivmedizinischer Komplexbehandlung > 588 / 552 / 552 Aufwandspunkte und < 1177 / 829 / 1105 Aufwandspunkte od. Alter < 16 Jahre;4,899;;18,8;5;0,695;36;0,156;;x;x;2,7876
A13F;O;Beatmung > 95 Stunden, ohne bestimmte OR-Prozedur, ohne komplizierende Konstellation, ohne intensivmed. Komplexbeh. > 588 / 552 / 552 Aufwandspunkte, Alter > 15 Jahre, mit komplexer Diagnose oder Prozedur od. intensivmed. Komplexbeh. > - / 368 / - Punkte;3,392;;12,5;3;0,770;26;0,173;0,229;;x;3,0881
A13G;O;Beatmung > 95 Stunden, mit bestimmter OR-Prozedur oder kompliz. Konstellation, mit äußerst schweren CC, verstorben oder verlegt < 9 Tage oder ohne best. OR-Proz., ohne kompliz. Konst., Alter > 15 J., ohne kompliz. Diagnose od. Prozedur, mit äuß. schw. CC;3,266;;15,8;4;0,599;32;0,133;0,179;;x;2,6083
A13H;O;Beatmung > 95 Stunden mit bestimmter OR-Prozedur oder kompliz. Konstellation, ohne äußerst schwere CC, verstorben oder verlegt < 9 Tage oder ohne best. OR-Proz., ohne kompliz. Konst., Alter > 15 J., ohne kompliz. Diagnose oder Proz., ohne äuß. schw. CC;2,392;;11,1;3;0,571;25;0,144;0,189;;x;2,8862
A15B;O;Knochenmarktransplantation / Stammzelltransfusion, autogen, außer bei Plasmozytom, Alter < 18 Jahre oder bestimmte Entnahme oder intensivmedizinische Komplexbehandlung > 588 / 552 / 552 Aufwandspunkte;7,680;;26,3;8;0,670;42;0,230;;x;x;2,4421
A15C;O;Knochenmarktransplantation / Stammzelltransfusion, autogen, außer bei Plasmozytom, Alter > 17 Jahre, ohne bestimmte Entnahme oder bei Plasmozytom, mit bestimmter Entnahme oder intensivmedizinischer Komplexbehandlung > 392 / 368 / 368 Aufwandspunkte;6,078;;23,3;7;0,568;35;0,225;;x;x;1,2738
A15D;O;Knochenmarktransplantation / Stammzelltransfusion, autogen, bei Plasmozytom, ohne bestimmte Entnahme;4,172;;19,2;5;0,464;27;0,185;;x;x;1,1632
A17A;O;Nierentransplantation mit postoperativem Versagen des Nierentransplantates oder Alter < 16 Jahre oder AB0-inkompatible Transplantation oder schwerste CC;6,960;;23,5;7;0,617;41;0,245;;x;x;1,7382
A17B;O;Nierentransplantation ohne postoperatives Versagen des Nierentransplantates, Alter > 15 Jahre oder ohne AB0-inkompatible Transplantation, ohne schwerste CC;4,939;;15,8;4;0,657;27;0,208;;x;x;1,5181
A18Z;O;Beatmung > 999 Stunden und Transplantation von Leber, Lunge, Herz und Knochenmark oder Stammzelltransfusion;45,904;;102,7;;;121;0,395;;x;x;4,2132
A36A;O;Intensivmedizinische Komplexbehandlung > 980 / 1104 / 1656 Aufwandspunkte bei bestimmten Krankheiten und Störungen oder intensivmedizinische Komplexbehandlung > 588 / 552 / 552 P. bei Versagen und Abstoßung eines Transplantates hämatopoetischer Zellen;11,897;;38,7;12;0,837;57;0,281;;x;x;2,9114
A36B;O;Intensivmedizinische Komplexbehandlung > 588 / 552 / 828 und < 981 / 1105 / 1657 Aufwandspunkte bei bestimmten Krankheiten und Störungen oder komplizierende Konstellation bei Versagen und Abstoßung eines Transplantates hämatopoetischer Zellen;7,072;;27,2;8;0,695;45;0,230;;x;x;2,4147
A36C;O;Intensivmedizinische Komplexbehandlung > - / - / 552 und < - / - / 829 Aufwandspunkte bei bestimmten Krankheiten und Störungen;5,521;;23,3;7;0,596;41;0,143;;x;x;2,4892
A42A;A;Stammzellentnahme bei Eigenspender mit Chemotherapie oder mit schwersten CC, Alter > 15 Jahre;2,000;;15,4;4;0,385;23;0,125;0,118;;x;0,7905
A42B;A;Stammzellentnahme bei Eigenspender, Alter < 16 Jahre oder ohne schwerste CC;2,298;;11,9;3;0,525;22;0,181;0,163;;x;1,9117
A42C;A;Stammzellentnahme bei Eigenspender ohne Chemotherapie, Alter > 15 Jahre, ohne schwerste CC, ohne Sepsis, ohne komplizierende Konstellation;0,860;;4,9;1;0,511;11;0,158;0,131;;x;0,8571
A60A;M;Versagen und Abstoßung eines Organtransplantates, mehr als ein Belegungstag, mit Entfernung eines Organtransplantates oder komplexer OR-Prozedur oder äußerst schweren CC oder komplizierender Konstellation;2,009;;13,9;4;0,330;28;0,135;;x;x;1,0888
A60B;M;Versagen und Abstoßung eines Organtransplantates, mehr als ein Belegungstag, ohne Entfernung eines Organtransplantates, ohne komplexe OR-Prozedur, ohne äußerst schwere CC, ohne komplizierende Konstellation, Alter < 16 Jahre;0,845;;4,6;;;10;0,175;;x;x;1,4851
A60C;M;Versagen und Abstoßung eines Organtransplantates, mehr als ein Belegungstag, ohne Entfernung eines Organtransplantates, ohne komplexe OR-Prozedur, ohne äußerst schwere CC, ohne komplizierende Konstellation, Alter > 15 Jahre;0,650;;6,0;;;16;0,101;;x;x;0,7396
A60D;M;Versagen und Abstoßung eines Organtransplantates, ein Belegungstag;0,194;;1,0;;;;;;;x;1,1579
A61A;M;Versagen und Abstoßung eines Transplantates hämatopoetischer Zellen mit äußerst schweren CC oder mit bestimmter akuter Graft-versus-Host-Krankheit, mehr als ein Belegungstag;2,924;;15,2;4;0,566;31;0,187;0,175;;x;1,5263
A61B;M;Versagen und Abstoßung eines Transplantates hämatopoetischer Zellen ohne äußerst schwere CC, ohne bestimmte akute Graft-versus-Host-Krankheit oder ein Belegungstag, mit schweren CC oder Alter < 10 Jahre;1,114;;6,2;1;0,859;17;0,171;0,147;;x;1,4505
A61C;M;Versagen und Abstoßung eines Transplantates hämatopoetischer Zellen ohne äußerst schwere oder schwere CC, ohne bestimmte akute Graft-versus-Host-Krankheit oder ein Belegungstag, Alter > 9 Jahre;0,518;;2,9;1;0,330;7;0,165;0,123;;x;1,0755
A62Z;M;Evaluierungsaufenthalt vor Herztransplantation;2,898;;19,8;6;0,355;36;0,148;0,119;;x;1,0577
A63Z;M;Evaluierungsaufenthalt vor Lungen- oder Herz-Lungen-Transplantation;2,137;;11,4;3;0,476;23;0,168;0,154;;x;1,0022
A64Z;M;Evaluierungsaufenthalt vor Leber-, Dünndarm- oder Nieren-Pankreas-Transplantation;1,746;;10,0;2;0,470;22;0,153;0,129;;x;0,8538
A66Z;M;Evaluierungsaufenthalt vor anderer Organtransplantation;1,038;;2,8;1;0,472;6;0,346;0,254;;x;0,9988
A69Z;M;Evaluierungsaufenthalt vor Organtransplantation ohne Aufnahme auf eine Warteliste;1,889;;11,0;3;0,392;24;0,142;0,131;;x;0,8675
MDC 01 Krankheiten und Störungen des Nervensystems;;;;;;;;;;;;;
B01A;O;Mehrzeitige komplexe OR-Prozeduren bei Krankheiten und Störungen des Nervensystems, mit komplizierender Konstellation oder Alter < 18 Jahre;6,992;;20,0;6;0,592;38;0,221;0,197;;;2,2417
B01B;O;Mehrzeitige komplexe OR-Prozeduren bei Krankheiten und Störungen des Nervensystems, ohne komplizierende Konstellation, Alter > 17 Jahre;5,378;;21,2;6;0,412;39;0,170;0,130;;;1,4094
B02A;O;Komplexe Kraniotomie oder Wirbelsäulen-Operation bei Neubildung des Nervensystems oder intensivmedizinischer Komplexbehandlung > 392 / 368 / - Punkte, Alter < 6 Jahre mit Eingriff bei BNB oder Alter < 16 Jahre und mehrzeitige komplexe OR-Prozedur;8,386;;24,2;7;0,585;42;0,193;;x;;2,3913
B02B;O;Komplexe Kraniotomie oder WS-OP, Bestr. an mind. 9 T. od. best. Eingr. bei BNB mit intraop. Monit., Alt. < 18 J. od. b. BNB od. IntK > 392 / 368 / - P., mit schwersten CC, Alt. > 15 J. od. oh. mehrz. kompl. OR-Proz. od. Alt. > 5 J. od. oh. Eingr. bei BNB;7,397;;39,9;12;0,428;58;0,153;;x;;1,2533
B02C;O;Komplexe Kraniotomie oder WS-OP, mehr als 8 Bestr., Alter > 17 J. oder ohne best. Eingr. bei BNB mit intraop. Monit. od. bei NB des Nervensystems oder IntK > 392 / 368 / - P., Alter > 15 J. od. oh. mehrz. kompl. OR-Proz. od. Alt. > 5 J., oh. schwerste CC;6,037;;20,5;6;0,685;35;0,233;;x;;2,5183
B02D;O;Komplexe Kraniotomie oder Wirbelsäulen-Operation, außer bei Neubildung, ohne intensivmedizinische Komplexbehandlung > 392 / 368 / - Aufwandspunkte, Alter < 6 Jahre oder mit bestimmtem Eingriff, Alter < 18 Jahre oder mit best. komplizierenden Faktoren;3,830;;11,8;3;0,456;25;0,171;;x;;1,3885
B02E;O;Komplexe Kraniotomie oder Wirbelsäulen-Operation, ohne bestimmten komplexen Eingriff, Alter > 5 Jahre, ohne bestimmte komplizierende Faktoren;3,583;;13,7;4;0,587;28;0,215;;x;;1,7413
B03Z;O;Bestimmte Eingriffe an Wirbelsäule und Rückenmark bei bösartiger Neubildung oder mit intraoperativem Monitoring oder Eingriffe bei zerebraler Lähmung, Muskeldystrophie, Neuropathie oder nicht akuter Para- / Tetraplegie mit äußerst schweren CC;2,902;;10,7;3;0,295;23;0,134;0,101;;;1,0728
B04A;O;Interventionelle oder beidseitige Eingriffe an den extrakraniellen Gefäßen mit äußerst schweren CC;3,302;;12,2;3;0,687;26;0,158;;x;;1,7997
B04B;O;Beidseitige Eingriffe an den extrakraniellen Gefäßen ohne äußerst schwere CC oder mehrzeitige Eingriffe an den extrakraniellen Gefäßen oder äußerst schwere CC;3,287;;14,8;4;0,442;30;0,105;;x;;1,3763
B04C;O;Eingriffe an den extrakraniellen Gefäßen, ohne mehrzeitige Eingriffe, ohne beidseitige Eingriffe, ohne äußerst schwere CC;1,323;;5,2;1;0,423;10;0,080;;x;;0,9666
B05Z;O;Dekompression bei Karpaltunnelsyndrom oder kleine Eingriffe an den Nerven;0,494;;2,4;1;0,133;5;0,065;0,065;;;0,9115
B07Z;O;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems mit äußerst schweren CC oder komplizierender Diagnose;4,092;;19,2;5;0,413;37;0,090;0,123;;;1,4446
B09Z;O;Andere Eingriffe am Schädel;1,132;;5,4;1;0,506;12;0,068;0,082;;;0,8589
B12Z;O;Implantation eines Herzschrittmachers bei Krankheiten und Störungen des Nervensystems oder perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen;2,330;;12,7;3;0,394;26;0,087;0,115;;;1,1492
B15Z;O;Strahlentherapie bei Krankheiten und Störungen des Nervensystems, Bestrahlungen an mindestens 8 Tagen;2,437;;19,0;5;0,397;34;0,126;;x;x;0,8468
B16A;O;Strahlentherapie bei Krankheiten und Störungen des Nervensystems, mehr als ein Belegungstag, Bestrahlungen an mindestens 5 Tagen;1,308;;9,5;2;0,429;21;0,136;0,123;;x;0,8484
B16B;O;Strahlentherapie bei Krankheiten und Störungen des Nervensystems, mehr als ein Belegungstag, Bestrahlungen an weniger als 5 Tagen;0,748;;4,9;;;13;0,105;0,124;;x;0,9224
B17A;O;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems oder Eingriff bei zerebraler Lähmung, Muskeldystrophie oder Neuropathie, mit komplexer Diagnose oder Implantation eines Ereignis-Rekorders;2,080;;8,6;2;0,406;17;0,099;0,127;;;1,0592
B17B;O;Eingriffe an peripheren Nerven, Hirnnerven und and. Teilen des Nervensystems oder Eingr. bei zerebr. Lähmung, Muskeldystr. od. Neurop., mit best. kompl. Eingr., Alter < 16 J. oder mit mäßig kompl. Eingr., Alter < 19 J. oder mit äuß. schw. oder schw. CC;1,735;;9,5;2;0,346;23;0,117;0,099;;;1,0239
B17C;O;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems oder Eingriff bei zerebraler Lähmung, Muskeldystrophie oder Neuropathie, mit komplexem Eingriff;1,678;;4,4;1;0,195;9;0,062;0,072;;;0,7889
B17D;O;Eingr. an periph. Nerven, Hirnnerven und and. Teilen des Nervensyst. oder Eingr. bei zerebr. Lähmung, Muskeldystr. od. Neurop., Alt. < 19 J. od. mit schw. CC, Alt. > 15 J., ohne mäßig kompl. Eingr. od. oh. schw. CC, Alt. > 18 J., mit mäßig kompl. Eingr.;1,032;;4,5;1;0,370;12;0,072;0,084;;;0,7795
B17E;O;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems oder Eingriff bei zerebr. Lähmung, Muskeldystrophie od. Neuropathie, ohne kompl. Diagnose, ohne mäßig kompl. od. kompl. Eingr., ohne äuß. schw. oder schw. CC, Alter > 18 J.;0,718;;2,9;1;0,199;6;0,064;0,068;;;0,8644
B18A;O;Komplexe Eingriffe an Wirbelsäule und Rückenmark bei Krankheiten und Störungen des Nervensystems;4,152;;19,6;6;0,332;38;0,083;0,113;;;1,1470
B18B;O;Bestimmte Eingriffe an Wirbelsäule und Rückenmark bei Krankheiten und Störungen des Nervensystems außer bei bösartiger Neubildung oder Revision eines Ventrikelshuntes oder operative Eingriffe bei nicht akuter Para- / Tetraplegie;2,293;;10,7;3;0,263;23;0,069;0,090;;;0,9534
B18C;O;Andere Eingriffe an Wirbelsäule und Rückenmark bei Krankheiten und Störungen des Nervensystems außer bei bösartiger Neubildung;1,676;;6,9;1;0,345;15;0,070;0,087;;;1,0124
B18D;O;Mäßig komplexe Eingriffe an Wirbelsäule und Rückenmark bei Krankheiten und Störungen des Nervensystems außer bei bösartiger Neubildung;1,450;;7,6;2;0,208;19;0,058;0,073;;;0,8393
B19A;O;Implantation, Revision und Entfernung von Neurostimulatoren und Neurostimulationselektroden bei Krankheiten und Störungen des Nervensystems mit Implantation oder Wechsel eines Neurostimulators;1,220;;3,0;1;0,113;7;0,056;0,060;;;0,8378
B19B;O;Implantation, Revision und Entfernung von Neurostimulatoren und Neurostimulationselektroden bei Krankheiten und Störungen des Nervensystems mit Implantation oder Wechsel eines permanenten oder temporären Elektrodensystems;1,464;;2,8;1;0,223;7;0,061;0,064;;;0,8178
B19C;O;Implantation, Revision und Entfernung von Neurostimulatoren und Neurostimulationselektroden bei Krankheiten und Störungen des Nervensystems ohne Implantation oder Wechsel von Neurostimulatoren und Elektrodensystemen;0,839;;3,0;1;0,318;7;0,064;0,069;;;0,8289
B20A;O;Kraniotomie oder große Wirbelsäulen-Operation mit bestimmter komplexer Prozedur, Alter < 18 Jahre oder mit komplizierenden Faktoren, Alter < 16 Jahre;2,733;;8,4;2;0,457;17;0,198;;x;;1,7317
B20B;O;Kraniotomie oder große WS-Operation mit komplexer Prozedur, Alter > 17 Jahre oder ohne bestimmte komplexe Prozedur, mit komplizierenden Faktoren, Alter > 15 Jahre;2,844;;9,9;2;0,466;20;0,173;;x;;1,2534
B20C;O;Kraniotomie oder große Wirbelsäulen-Operation, Alter < 3 J. oder intervent. Eingriff oder Alter < 18 J. mit großem intrakraniellen Eingriff oder mit kompl. Diagnose oder best. Eingriffe bei Trigeminusneuralgie, Alter < 16 J. od. bei bösartiger Neubildung;2,080;;6,1;1;0,691;14;0,226;;x;;1,3260
B20D;O;Kraniotomie oder große WS-OP mit komplexer Prozedur oder ohne komplexe Prozedur, Alter > 2 Jahre, mit komplexer Diagnose oder bestimmtem Eingriff bei Trigeminusneuralgie oder mit bestimmter Prozedur oder bei bösartiger Neubildung;2,027;;7,9;2;0,388;18;0,149;;x;;1,2251
