ZE;Bezeichnung;Betrag;;;
ZE141;Neurostimulatoren zur Rückenmarkstimulation oder zur Stimulation des peripheren Nervensystems, Mehrkanalstimulator, nicht wiederaufladbar, ohne Sondenimplantation;9.932,26 €;;;
ZE143;Gabe von Plerixafor, parenteral;siehe Anlage 5;;;
ZE144;Gabe von Romiplostim, parenteral;siehe Anlage 5;;;
ZE145;Spezialisierte stationäre palliativmedizinische Komplexbehandlung;siehe Anlage 5;;;
ZE146;Gabe von Thrombozytenkonzentraten;siehe Anlage 5;;;
ZE147;Gabe von Apherese-Thrombozytenkonzentraten;siehe Anlage 5;;;
ZE151;Gabe von Abatacept, intravenös;siehe Anlage 5;;;
ZE152;Perkutan-transluminale Fremdkörperentfernung und Thrombektomie an intrakraniellen Gefäßen unter Verwendung eines Stentretriever-Systems;siehe Anlage 5;;;
ZE153;Zügeloperation mit alloplastischem Material, adjustierbar;126,25 €;;;
ZE154;Gabe von Eculizumab, parenteral;siehe Anlage 5;;;
ZE156;Gabe von Decitabin, parenteral;siehe Anlage 5;;;
ZE157;Gabe von Tocilizumab, intravenös;siehe Anlage 5;;;
ZE158;Vagusnervstimulationssysteme, mit Sondenimplantation;11.126,56 €;;;
ZE159;Vagusnervstimulationssysteme, ohne Sondenimplantation;8.935,16 €;;;
ZE161;Radiofrequenzablation Ösophagus;1.439,31 €;;;
ZE162;Erhöhter Pflegeaufwand bei pflegebedürftigen Patienten (DRG-Tabelle;15,12 €;;;
ZE163;Erhöhter Pflegeaufwand bei pflegebedürftigen Patienten (DRG-Tabelle;31,30 €;;;
ZE164;Gabe von pathogeninaktivierten Thrombozytenkonzentraten;siehe Anlage 5;;;
ZE165;Gabe von pathogeninaktivierten Apherese-Thrombozytenkonzentraten;siehe Anlage 5;;;
ZE168;Gabe von Ipilimumab, parenteral;siehe Anlage 5;;;
ZE169;Adjustierbare Harnkontinenztherapien;2.673,90 €;;;
ZE170 ;Suspensionsoperation bei Harninkontinenz des Mannes;1.677,12 €;;;
