ZE;Bezeichnung;OPS-Kode;OPS-Text
ZE2021-02;Links- und rechtsventrikuläre Herzassistenzsysteme („Kunstherz“);5-376.40;Implantation und Entfernung eines herzunterstützenden Systems, offen chirurgisch: Intrakorporale Pumpe, univentrikulär: Implantation
ZE2021-02;Links- und rechtsventrikuläre Herzassistenzsysteme („Kunstherz“);5-376.50;Implantation und Entfernung eines herzunterstützenden Systems, offen chirurgisch: Intrakorporale Pumpe, biventrikulär: Implantation
ZE2021-02;Links- und rechtsventrikuläre Herzassistenzsysteme („Kunstherz“);5-376.60;Implantation und Entfernung eines herzunterstützenden Systems, offen chirurgisch: Kunstherz (totaler Herzersatz): Implantation
ZE2021-02;Links- und rechtsventrikuläre Herzassistenzsysteme („Kunstherz“);5-376.70;Implantation und Entfernung eines herzunterstützenden Systems, offen chirurgisch: Parakorporale Pumpe, univentrikulär: Implantation
ZE2021-02;Links- und rechtsventrikuläre Herzassistenzsysteme („Kunstherz“);5-376.72;Implantation und Entfernung eines herzunterstützenden Systems, offen chirurgisch: Parakorporale Pumpe, univentrikulär: Isolierter Pumpenwechsel, nicht offen chirurgisch
ZE2021-02;Links- und rechtsventrikuläre Herzassistenzsysteme („Kunstherz“);5-376.80;Implantation und Entfernung eines herzunterstützenden Systems, offen chirurgisch: Parakorporale Pumpe, biventrikulär: Implantation
ZE2021-02;Links- und rechtsventrikuläre Herzassistenzsysteme („Kunstherz“);5-376.83;Implantation und Entfernung eines herzunterstützenden Systems, offen chirurgisch: Parakorporale Pumpe, biventrikulär: Isolierter Pumpenwechsel einer Pumpe, nicht offen chirurgisch
ZE2021-02;Links- und rechtsventrikuläre Herzassistenzsysteme („Kunstherz“);5-376.84;Implantation und Entfernung eines herzunterstützenden Systems, offen chirurgisch: Parakorporale Pumpe, biventrikulär: Isolierter Pumpenwechsel beider Pumpen, nicht offen chirurgisch
ZE2021-03;ECMO und PECLA;8-852.0*;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Veno-venöse extrakorporale Membranoxygenation (ECMO) ohne Herzunterstützung
ZE2021-03;ECMO und PECLA;8-852.2*;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Extrakorporale Lungenunterstützung, pumpenlos (PECLA)
ZE2021-03;ECMO und PECLA;8-852.3*;Extrakorporaler Gasaustausch ohne und mit Herzunterstützung und Prä-ECMO-Therapie: Anwendung einer minimalisierten Herz-Lungen-Maschine
ZE2021-04;Individuell nach CAD gefertigte Rekonstruktionsimplantate im Gesichts- und Schädelbereich;5-020.65;Kranioplastik: Rekonstruktion des Gesichtsschädels ohne Beteiligung des Hirnschädels bis zu 2 Regionen mit computerassistiert vorgefertigtem Implantat [CAD-Implantat]
ZE2021-04;Individuell nach CAD gefertigte Rekonstruktionsimplantate im Gesichts- und Schädelbereich;5-020.66;Kranioplastik: Rekonstruktion des Gesichtsschädels ohne Beteiligung des Hirnschädels ab 3 Regionen mit computerassistiert vorgefertigtem Implantat [CAD-Implantat]
ZE2021-04;Individuell nach CAD gefertigte Rekonstruktionsimplantate im Gesichts- und Schädelbereich;5-020.67;Kranioplastik: Rekonstruktion des Hirnschädels mit Beteiligung von Orbita, Temporalregion oder frontalem Sinus (bis zu 2 Regionen) mit computerassistiert vorgefertigtem Implantat [CAD-Implantat]
ZE2021-04;Individuell nach CAD gefertigte Rekonstruktionsimplantate im Gesichts- und Schädelbereich;5-020.68;Kranioplastik: Rekonstruktion des Hirnschädels mit Beteiligung multipler Regionen des Gesichtsschädels (ab 3 Regionen) mit computerassistiert vorgefertigtem Implantat [CAD-Implantat]
ZE2021-04;Individuell nach CAD gefertigte Rekonstruktionsimplantate im Gesichts- und Schädelbereich;5-020.6b;Kranioplastik: Rekonstruktion des Gesichtsschädels ohne Beteiligung des Hirnschädels bis zu 2 Regionen mit computerassistiert vorgefertigtem Implantat, mit nicht resorbierbarem, mikroporösem Material mit fibrovaskulärer Integration
ZE2021-04;Individuell nach CAD gefertigte Rekonstruktionsimplantate im Gesichts- und Schädelbereich;5-020.6c;Kranioplastik: Rekonstruktion des Gesichtsschädels ohne Beteiligung des Hirnschädels ab 3 Regionen mit computerassistiert vorgefertigtem Implantat, mit nicht resorbierbarem, mikroporösem Material mit fibrovaskulärer Integration
ZE2021-04;Individuell nach CAD gefertigte Rekonstruktionsimplantate im Gesichts- und Schädelbereich;5-020.6d;Kranioplastik: Rekonstruktion des Hirnschädels mit Beteiligung von Orbita, Temporalregion oder frontalem Sinus (bis zu 2 Regionen) mit computerassistiert vorgefertigtem Implantat, mit nicht resorbierbarem, mikroporösem Material mit fibrovaskulärer Integration
ZE2021-04;Individuell nach CAD gefertigte Rekonstruktionsimplantate im Gesichts- und Schädelbereich;5-020.6e;Kranioplastik: Rekonstruktion des Hirnschädels mit Beteiligung multipler Regionen des Gesichtsschädels (ab 3 Regionen) mit computerassistiert vorgefertigtem Implantat, mit nicht resorbierbarem, mikroporösem Material mit fibrovaskulärer Integration
ZE2021-04;Individuell nach CAD gefertigte Rekonstruktionsimplantate im Gesichts- und Schädelbereich;5-020.71;Kranioplastik: Rekonstruktion des Hirnschädels ohne Beteiligung des Gesichtsschädels, mit alloplastischem Material: Mit computerassistiert vorgefertigtem Implantat [CAD-Implantat], einfacher Defekt
ZE2021-04;Individuell nach CAD gefertigte Rekonstruktionsimplantate im Gesichts- und Schädelbereich;5-020.72;Kranioplastik: Rekonstruktion des Hirnschädels ohne Beteiligung des Gesichtsschädels, mit alloplastischem Material: Mit computerassistiert vorgefertigtem Implantat [CAD-Implantat], großer oder komplexer Defekt
ZE2021-04;Individuell nach CAD gefertigte Rekonstruktionsimplantate im Gesichts- und Schädelbereich;5-020.74;Kranioplastik: Rekonstruktion des Hirnschädels ohne Beteiligung des Gesichtsschädels, mit alloplastischem Material: Mit computerassistiert vorgefertigtem Implantat [CAD-Implantat], einfacher Defekt, mit nicht resorbierbarem, mikroporösem Material mit fibrovaskulärer Integration
ZE2021-04;Individuell nach CAD gefertigte Rekonstruktionsimplantate im Gesichts- und Schädelbereich;5-020.75;Kranioplastik: Rekonstruktion des Hirnschädels ohne Beteiligung des Gesichtsschädels, mit alloplastischem Material: Mit computerassistiert vorgefertigtem Implantat [CAD-Implantat], großer oder komplexer Defekt, mit nicht resorbierbarem, mikroporösem Material mit fibrovaskulärer Integration
ZE2021-04;Individuell nach CAD gefertigte Rekonstruktionsimplantate im Gesichts- und Schädelbereich;5-774.71;Plastische Rekonstruktion und Augmentation der Maxilla: Durch alloplastische Implantate: Mit computerassistiert vorgefertigtem Implantat [CAD-Implantat], einfacher Defekt
ZE2021-04;Individuell nach CAD gefertigte Rekonstruktionsimplantate im Gesichts- und Schädelbereich;5-774.72;Plastische Rekonstruktion und Augmentation der Maxilla: Durch alloplastische Implantate: Mit computerassistiert vorgefertigtem Implantat [CAD-Implantat], großer oder komplexer Defekt
ZE2021-04;Individuell nach CAD gefertigte Rekonstruktionsimplantate im Gesichts- und Schädelbereich;5-775.71;Plastische Rekonstruktion und Augmentation der Mandibula: Durch alloplastische Implantate: Mit computerassistiert vorgefertigtem Implantat [CAD-Implantat], einfacher Defekt
ZE2021-04;Individuell nach CAD gefertigte Rekonstruktionsimplantate im Gesichts- und Schädelbereich;5-775.72;Plastische Rekonstruktion und Augmentation der Mandibula: Durch alloplastische Implantate: Mit computerassistiert vorgefertigtem Implantat [CAD-Implantat], großer oder komplexer Defekt
ZE2021-05;Distraktion am Gesichtsschädel;5-776.6;Osteotomie zur Verlagerung des Untergesichtes: Verlagerung des Unterkiefers durch Distraktion mit Kontinuitätsdurchtrennung im aufsteigenden Mandibulaast
ZE2021-05;Distraktion am Gesichtsschädel;5-776.7;Osteotomie zur Verlagerung des Untergesichtes: Verlagerung der Mandibula durch Distraktion nach Osteotomie im horizontalen Mandibulaast
ZE2021-05;Distraktion am Gesichtsschädel;5-776.9;Osteotomie zur Verlagerung des Untergesichtes: Verlagerung des Alveolarfortsatzes durch horizontale Distraktion nach Osteotomie
ZE2021-05;Distraktion am Gesichtsschädel;5-777.*1;Osteotomie zur Verlagerung des Mittelgesichtes: Mit Distraktion
ZE2021-07;Andere implantierbare Medikamentenpumpen;5-028.1x;Funktionelle Eingriffe an Schädel, Gehirn und Hirnhäuten: Implantation oder Wechsel einer Medikamentenpumpe zur intraventrikulären Infusion: Sonstige
ZE2021-07;Andere implantierbare Medikamentenpumpen;5-038.4x;Operationen am spinalen Liquorsystem: Implantation oder Wechsel einer Medikamentenpumpe zur intrathekalen und/oder epiduralen Infusion: Sonstige
ZE2021-08,;Sonstige Dialyse;8-853.x;Hämofiltration: Sonstige
ZE2021-08,;Sonstige Dialyse;8-853.y;Hämofiltration: N.n.bez.
ZE2021-08,;Sonstige Dialyse;8-854.x;Hämodialyse: Sonstige
ZE2021-08,;Sonstige Dialyse;8-854.y;Hämodialyse: N.n.bez.
ZE2021-08,;Sonstige Dialyse;8-855.x;Hämodiafiltration: Sonstige
ZE2021-08,;Sonstige Dialyse;8-855.y;Hämodiafiltration: N.n.bez.
ZE2021-08,;Sonstige Dialyse;8-857.x;Peritonealdialyse: Sonstige
ZE2021-08,;Sonstige Dialyse;8-857.y;Peritonealdialyse: N.n.bez.
ZE2021-09;Hämoperfusion;8-821.2;Immunadsorption und verwandte Verfahren: Adsorption zur Entfernung hydrophober Substanzen (niedrig- und/oder mittelmolekular)
ZE2021-09;Hämoperfusion;8-856;Hämoperfusion
ZE2021-10;Leberersatztherapie;8-858;Extrakorporale Leberersatztherapie [Leberdialyse]
ZE2021-13;Immunadsorption;8-821.0;Immunadsorption mit nicht regenerierbarer Säule zur Entfernung von Immunglobulinen und/oder Immunkomplexen
ZE2021-13;Immunadsorption;8-821.10;Immunadsorption mit regenerierbarer Säule zur Entfernung von Immunglobulinen und/oder Immunkomplexen: Ersteinsatz
ZE2021-13;Immunadsorption;8-821.11;Immunadsorption mit regenerierbarer Säule zur Entfernung von Immunglobulinen und/oder Immunkomplexen: Weitere Anwendung
ZE2021-15;Zellapherese;8-823;Zellapherese
ZE2021-15;Zellapherese;8-825.*;Spezielle Zellaphereseverfahren
ZE2021-16;Isolierte Extremitätenperfusion;8-859;Isolierte Extremitätenperfusion
ZE2021-17;Retransplantation von Organen während desselben stationären Aufenthaltes;5-125.5;Hornhaut-Retransplantation während desselben stationären Aufenthaltes
ZE2021-17;Retransplantation von Organen während desselben stationären Aufenthaltes;5-335.3*;Lungentransplantation: Retransplantation während desselben stationären Aufenthaltes
ZE2021-17;Retransplantation von Organen während desselben stationären Aufenthaltes;5-375.3;Herz-Retransplantation während desselben stationären Aufenthaltes
ZE2021-17;Retransplantation von Organen während desselben stationären Aufenthaltes;5-375.4;Herz-Lungen-Retransplantation (En-bloc) während desselben stationären Aufenthaltes
ZE2021-17;Retransplantation von Organen während desselben stationären Aufenthaltes;5-467.9*;Dünndarm-Retransplantation während desselben stationären Aufenthaltes
ZE2021-17;Retransplantation von Organen während desselben stationären Aufenthaltes;5-504.3;Lebertransplantation: Retransplantation, komplett (gesamtes Organ) während desselben stationären Aufenthaltes
ZE2021-17;Retransplantation von Organen während desselben stationären Aufenthaltes;5-504.4;Lebertransplantation: Retransplantation, partiell (Split-Leber) während desselben stationären Aufenthaltes
ZE2021-17;Retransplantation von Organen während desselben stationären Aufenthaltes;5-504.5;Lebertransplantation: Retransplantation, auxiliär (linker Leberlappen zusätzlich zum vorhandenen Organ) während desselben stationären Aufenthaltes
ZE2021-17;Retransplantation von Organen während desselben stationären Aufenthaltes;5-528.3;Retransplantation von Pankreasgewebe während desselben stationären Aufenthaltes
ZE2021-17;Retransplantation von Organen während desselben stationären Aufenthaltes;5-528.4;Retransplantation eines Pankreassegmentes während desselben stationären Aufenthaltes
ZE2021-17;Retransplantation von Organen während desselben stationären Aufenthaltes;5-528.5;Retransplantation des Pankreas (gesamtes Organ) während desselben stationären Aufenthaltes
ZE2021-17;Retransplantation von Organen während desselben stationären Aufenthaltes;5-555.6;Nierentransplantation: Retransplantation, allogen, Lebendspender während desselben stationären Aufenthaltes
ZE2021-17;Retransplantation von Organen während desselben stationären Aufenthaltes;5-555.7;Nierentransplantation: Retransplantation, allogen, Leichenniere während desselben stationären Aufenthaltes
ZE2021-17;Retransplantation von Organen während desselben stationären Aufenthaltes;5-555.8;Nierentransplantation: Retransplantation, En-bloc-Transplantat während desselben stationären Aufenthaltes
ZE2021-18;Zwerchfellschrittmacher;5-347.6*;Operationen am Zwerchfell: Implantation oder Wechsel eines Zwerchfellschrittmachers
ZE2021-22;IABP;5-376.00;Implantation und Entfernung eines herzunterstützenden Systems, offen chirurgisch: Intraaortale Ballonpumpe: Implantation
ZE2021-22;IABP;8-839.0;Andere therapeutische Katheterisierung und Kanüleneinlage in Herz und Blutgefäße: Perkutane Einführung einer intraaortalen Ballonpumpe
ZE2021-24;Andere Penisprothesen;5-649.50;Andere Operationen am Penis: Implantation einer Penisprothese: Semirigide Prothese
ZE2021-24;Andere Penisprothesen;5-649.5x;Andere Operationen am Penis: Implantation einer Penisprothese: Sonstige
ZE2021-24;Andere Penisprothesen;5-649.a0;Andere Operationen am Penis: Wechsel einer semirigiden Penisprothese: In eine semirigide Prothese
ZE2021-24;Andere Penisprothesen;5-649.ax;Andere Operationen am Penis: Wechsel einer semirigiden Penisprothese: Sonstige
ZE2021-24;Andere Penisprothesen;5-649.b0;Andere Operationen am Penis: Wechsel einer hydraulischen Penisprothese: Vollständig, in eine semirigide Prothese
ZE2021-24;Andere Penisprothesen;5-649.b2;Andere Operationen am Penis: Wechsel einer hydraulischen Penisprothese: Isolierter Pumpenwechsel
ZE2021-24;Andere Penisprothesen;5-649.b3;Andere Operationen am Penis: Wechsel einer hydraulischen Penisprothese: Isolierter Reservoirwechsel [Ballon]
ZE2021-24;Andere Penisprothesen;5-649.b4;Andere Operationen am Penis: Wechsel einer hydraulischen Penisprothese: Isolierter Wechsel des Schwellkörperimplantates [Zylinder]
ZE2021-24;Andere Penisprothesen;5-649.bx;Andere Operationen am Penis: Wechsel einer hydraulischen Penisprothese: Sonstige
ZE2021-25;Modulare Endoprothesen;5-829.k*;Andere gelenkplastische Eingriffe: Implantation einer modularen Endoprothese oder (Teil-) Wechsel in eine modulare Endoprothese bei knöcherner Defektsituation und ggf. Knochen(teil)ersatz
ZE2021-25;Modulare Endoprothesen;5-829.m;Andere gelenkplastische Eingriffe: Implantation von oder (Teil-) Wechsel in ein patientenindividuell angefertigtes Implantat bei knöcherner Defektsituation oder angeborener oder erworbener Deformität
ZE2021-26;Anthroposophisch-medizinische Komplexbehandlung;8-975.3;Anthroposophisch-medizinische Komplexbehandlung
ZE2021-33,;Gabe von Sargramostim, parenteral;6-001.4*;Applikation von Medikamenten, Liste 1: Sargramostim, parenteral
ZE2021-34;Gabe von Granulozytenkonzentraten;8-802.6*;Transfusion von Leukozyten: Granulozyten
ZE2021-35;Fremdbezug von hämatopoetischen Stammzellen;;Fremdbezug von hämatopoetischen Stammzellen über Spenderdateien bei nicht-verwandten Spendern oder Bezug von hämatopoetischen Stammzellen von außerhalb Deutschlands bei Familienspendern
ZE2021-36;Versorgung von Schwerstbehinderten;;Zusatzentgelt für Krankenhäuser, bei denen insbesondere wegen einer räumlichen Nähe zu entsprechenden Einrichtungen oder einer Spezialisierung eine Häufung von schwerstbehinderten Patienten auftritt. Vergütung des mit den DRG-Fallpauschalen nicht abgedeckten, wesentlichen zusätzlichen Aufwands, insbesondere im Pflegedienst
ZE2021-40;Naturheilkundliche Komplexbehandlung;8-975.23;Naturheilkundliche Komplexbehandlung: Mindestens 14 bis höchstens 20 Behandlungstage und weniger als 2.520 Behandlungsminuten oder mindestens 10 bis höchstens 13 Behandlungstage und mindestens 1.680 Behandlungsminuten
ZE2021-40;Naturheilkundliche Komplexbehandlung;8-975.24;Naturheilkundliche Komplexbehandlung: Mindestens 21 Behandlungstage oder mindestens 14 Behandlungstage und mindestens 2.520 Behandlungsminuten
ZE2021-41,;Multimodal-nichtoperative Komplexbehandlung des Bewegungssystems;8-977;Multimodal-nichtoperative Komplexbehandlung des Bewegungssystems
ZE2021-44;Stammzellboost nach erfolgter Transplantation von hämatopoetischen Stammzellen, nach In-vitro-Aufbereitung;8-805.62;Transfusion von peripher gewonnenen hämatopoetischen Stammzellen: Stammzellboost nach erfolgter Transplantation von hämatopoetischen Stammzellen: Nach In-vitro-Aufbereitung
ZE2021-45;Komplexe Diagnostik bei hämatologischen und onkologischen Erkrankungen bei Kindern und Jugendlichen;1-940;Komplexe Diagnostik bei hämatologischen und onkologischen Erkrankungen bei Kindern und Jugendlichen
ZE2021-46,;Gabe von Anti-Human-T-Lymphozyten-Immunglobulin, parenteral;8-812.3;Transfusion von Plasma und anderen Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Anti-Human-T-Lymphozyten-Immunglobulin vom Kaninchen, parenteral
ZE2021-46,;Gabe von Anti-Human-T-Lymphozyten-Immunglobulin, parenteral;8-812.4;Transfusion von Plasma und anderen Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Anti-Human-T-Lymphozyten-Immunglobulin vom Pferd, parenteral
ZE2021-49;Hypertherme intraperitoneale Chemotherapie (HIPEC) in Kombination mit Peritonektomie und ggf. mit Multiviszeralresektion oder hypertherme intrathorakale Chemotherapie (HITOC) in Kombination mit Pleurektomie und ggf. mit Tumorreduktion;;
ZE2021-50;Implantation einer (Hybrid)-Prothese an der Aorta;5-384.8;Resektion und Ersatz (Interposition) an der Aorta: Aorta ascendens, Aortenbogen oder Aorta descendens mit Hybridprothese
ZE2021-50;Implantation einer (Hybrid)-Prothese an der Aorta;5-38a.a;Endovaskuläre Implantation von Stent-Prothesen: Bei Hybridverfahren an Aorta ascendens, Aortenbogen oder Aorta thoracica
ZE2021-50;Implantation einer (Hybrid)-Prothese an der Aorta;5-38a.b;Endovaskuläre Implantation von Stent-Prothesen: Bei Hybridverfahren an der Aorta thoracoabdominalis
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-429.j0;Andere Operationen am Ösophagus: Maßnahmen bei selbstexpandierender Prothese: Einlegen oder Wechsel, offen chirurgisch, eine Prothese ohne Antirefluxventil
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-429.j1;Andere Operationen am Ösophagus: Maßnahmen bei selbstexpandierender Prothese: Einlegen oder Wechsel, endoskopisch, eine Prothese ohne Antirefluxventil
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-429.j3;Andere Operationen am Ösophagus: Maßnahmen bei selbstexpandierender Prothese: Einlegen oder Wechsel, offen chirurgisch, zwei Prothesen ohne Antirefluxventil
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-429.j4;Andere Operationen am Ösophagus: Maßnahmen bei selbstexpandierender Prothese: Einlegen oder Wechsel, endoskopisch, zwei Prothesen ohne Antirefluxventil
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-429.j9;Andere Operationen am Ösophagus: Maßnahmen bei selbstexpandierender Prothese: Einlegen oder Wechsel, offen chirurgisch, mehr als zwei Prothesen ohne Antirefluxventil
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-429.ja;Andere Operationen am Ösophagus: Maßnahmen bei selbstexpandierender Prothese: Einlegen oder Wechsel, endoskopisch, mehr als zwei Prothesen ohne Antirefluxventil
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-429.jb;Andere Operationen am Ösophagus: Maßnahmen bei selbstexpandierender Prothese: Einlegen oder Wechsel, offen chirurgisch, eine Prothese mit Antirefluxventil
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-429.jc;Andere Operationen am Ösophagus: Maßnahmen bei selbstexpandierender Prothese: Einlegen oder Wechsel, endoskopisch, eine Prothese mit Antirefluxventil
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-429.jd;Andere Operationen am Ösophagus: Maßnahmen bei selbstexpandierender Prothese: Einlegen oder Wechsel, offen chirurgisch, zwei Prothesen, eine davon mit Antirefluxventil
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-429.je;Andere Operationen am Ösophagus: Maßnahmen bei selbstexpandierender Prothese: Einlegen oder Wechsel, endoskopisch, zwei Prothesen, eine davon mit Antirefluxventil
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-429.jf;Andere Operationen am Ösophagus: Maßnahmen bei selbstexpandierender Prothese: Einlegen oder Wechsel, offen chirurgisch, mehr als zwei Prothesen, eine davon mit Antirefluxventil
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-429.jg;Andere Operationen am Ösophagus: Maßnahmen bei selbstexpandierender Prothese: Einlegen oder Wechsel, endoskopisch, mehr als zwei Prothesen, eine davon mit Antirefluxventil
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-449.h*;Andere Operationen am Magen: Einlegen oder Wechsel einer selbstexpandierenden Prothese
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-469.k*;Andere Operationen am Darm: Einlegen oder Wechsel einer selbstexpandierenden Prothese
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-489.g0;Andere Operation am Rektum: Einlegen oder Wechsel einer Prothese, endoskopisch: Selbstexpandierend
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-513.m*;Endoskopische Operationen an den Gallengängen: Einlegen oder Wechsel von selbstexpandierenden ungecoverten Stents
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-513.n*;Endoskopische Operationen an den Gallengängen: Einlegen oder Wechsel von selbstexpandierenden gecoverten Stent-Prothesen
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-517.**;Einlegen oder Wechseln von selbstexpandierenden Stents und Stent-Prothesen in die Gallengänge
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-526.e0;Endoskopische Operationen am Pankreasgang: Einlegen einer Prothese: Selbstexpandierend
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-526.f0;Endoskopische Operationen am Pankreasgang: Wechsel einer Prothese: Selbstexpandierend
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-529.g*;Andere Operationen am Pankreas und am Pankreasgang: Einlegen einer selbstexpandierenden Prothese
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-529.j*;Andere Operationen am Pankreas und am Pankreasgang: Wechsel einer selbstexpandierenden Prothese
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-529.n4;Andere Operationen am Pankreas und am Pankreasgang: Transgastrale Drainage einer Pankreaszyste: Endoskopisch mit Einlegen eines selbstexpandierenden Stents
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-529.p2;Andere Operationen am Pankreas und am Pankreasgang: Endoskopische transgastrale Entfernung von Pankreasnekrosen: Mit Einlegen eines selbstexpandierenden Stents
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-529.r3;Andere Operationen am Pankreas und am Pankreasgang: Transduodenale Drainage einer Pankreaszyste: Endoskopisch mit Einlegen eines selbstexpandierenden Stents
ZE2021-54;Selbstexpandierende Prothesen am Gastrointestinaltrakt;5-529.s2;Andere Operationen am Pankreas und am Pankreasgang: Endoskopische transduodenale Entfernung von Pankreasnekrosen: Mit Einlegen eines selbstexpandierenden Stents
ZE2021-56;Gabe von Bosentan, oral;6-002.f*;Applikation von Medikamenten, Liste 2: Bosentan, oral
ZE2021-57;Gabe von Jod-131-MIBG (Metajodobenzylguanidin), parenteral;6-002.g*;Applikation von Medikamenten, Liste 2: Jod-131-Metajodobenzylguanidin (MIBG), parenteral
ZE2021-58;Gabe von Alpha-1-Proteinaseninhibitor human, parenteral;8-812.0*;Transfusion von Plasma und anderen Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Alpha-1-Proteinaseninhibitor human, parenteral
ZE2021-59;Gabe von Interferon alfa-2a (nicht pegylierte Form), parenteral;8-812.1*;Transfusion von Plasma und anderen Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Interferon alfa-2a, parenteral
ZE2021-60;Gabe von Interferon alfa-2b (nicht pegylierte Form), parenteral;8-812.2*;Transfusion von Plasma und anderen Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Interferon alfa-2b, parenteral
ZE2021-61;Neurostimulatoren zur Hirn- oder Rückenmarkstimulation oder zur Stimulation des peripheren Nervensystems, Mehrkanalstimulator, wiederaufladbar;5-028.92;Implantation oder Wechsel eines Neurostimulators zur Hirnstimulation mit Implantation oder Wechsel einer Neurostimulationselektrode: Mehrkanalstimulator, vollimplantierbar, mit wiederaufladbarem Akkumulator
ZE2021-61;Neurostimulatoren zur Hirn- oder Rückenmarkstimulation oder zur Stimulation des peripheren Nervensystems, Mehrkanalstimulator, wiederaufladbar;5-028.a2;Funktionelle Eingriffe an Schädel, Gehirn und Hirnhäuten: Wechsel eines Neurostimulators zur Hirnstimulation ohne Wechsel einer Neurostimulationselektrode: Mehrkanalstimulator, vollimplantierbar, mit wiederaufladbarem Akkumulator
