DRG,ICD,OPS
801D,C71.6,1-698.0
801E,C71.6,5-010.x
801D,C71.8,1-698.0
801E,C71.8,5-010.x
801D,G91.1,1-698.0
801E,G91.1,5-010.x
801D,D33.1,1-698.0
801E,D33.1,5-010.x
801D,C71.0,1-698.0
801E,C71.0,5-010.x
801D,D43.1,1-698.0
801E,D43.1,5-010.x
801D,G91.0,1-698.0
801E,G91.0,5-010.x
801D,T85.0,1-698.0
801E,T85.0,5-010.x
801E,C79.3,5-010.x
801D,C79.3,1-698.0
801D,C79.3,5-858.70
801E,D32.0,5-010.x
801D,D32.0,1-698.0
801D,D32.0,5-858.70
801E,G06.0,5-010.x
801D,G06.0,1-698.0
801D,G06.0,5-858.70
801E,C71.1,5-010.x
801D,C71.1,1-698.0
801D,C71.1,5-858.70
801E,C71.2,5-010.x
801D,C71.2,1-698.0
801D,C71.2,5-858.70
801E,D33.3,5-010.x
801D,D33.3,1-698.0
801D,D33.3,5-858.70
801E,T85.0,5-010.x
801D,T85.0,1-698.0
801D,T85.0,5-858.70
801E,C71.8,5-010.x
801D,C71.8,1-698.0
801D,C71.8,5-858.70
801E,C71.3,5-010.x
801D,C71.3,1-698.0
801D,C71.3,5-858.70
801E,G91.1,5-010.x
801D,G91.1,1-698.0
801D,G91.1,5-858.70
801E,G91.0,5-010.x
801D,G91.0,1-698.0
801D,G91.0,5-858.70
801E,I61.0,5-010.x
801D,I61.0,1-698.0
801D,I61.0,5-858.70
801E,G91.8,5-010.x
801D,G91.8,1-698.0
801D,G91.8,5-858.70
801E,I61.6,5-010.x
801D,I61.6,1-698.0
801D,I61.6,5-858.70
801E,D33.0,5-010.x
801D,D33.0,1-698.0
801D,D33.0,5-858.70
801E,D33.1,5-010.x
801D,D33.1,1-698.0
801D,D33.1,5-858.70
801E,G93.0,5-010.x
801D,G93.0,1-698.0
801D,G93.0,5-858.70
801E,I61.4,5-010.x
801D,I61.4,1-698.0
801D,I61.4,5-858.70
801E,G97.80,5-010.x
801D,G97.80,1-698.0
801D,G97.80,5-858.70
801E,I67.10,5-010.x
801D,I67.10,1-698.0
801D,I67.10,5-858.70
801E,C71.0,5-010.x
801D,C71.0,1-698.0
801D,C71.0,5-858.70
801E,C71.5,5-010.x
801D,C71.5,1-698.0
801D,C71.5,5-858.70
801E,C71.6,5-010.x
801D,C71.6,1-698.0
801D,C71.6,5-858.70
801E,D18.02,5-010.x
801D,D18.02,1-698.0
801D,D18.02,5-858.70
801E,G06.1,5-010.x
801D,G06.1,1-698.0
801D,G06.1,5-858.70
801E,G50.0,5-010.x
801D,G50.0,1-698.0
801D,G50.0,5-858.70
801E,I61.5,5-010.x
801D,I61.5,1-698.0
801D,I61.5,5-858.70
801E,C79.3,5-010.x
801E,C71.2,5-010.x
801E,C71.1,5-010.x
801E,C71.8,5-010.x
801E,C71.3,5-010.x
801E,C71.7,5-010.x
801E,S06.5,5-010.x
801E,I60.2,5-010.x
801E,I60.1,5-010.x
801E,I61.0,5-010.x
801E,C79.3,5-010.x
801E,I60.3,5-010.x
801E,I63.4,5-010.x
801E,I61.4,5-010.x
801E,I67.10,5-010.x
801E,D32.0,5-010.x
801E,I61.5,5-010.x
801E,I60.0,5-010.x
801E,I60.6,5-010.x
801E,I60.8,5-010.x
801E,G06.0,5-010.x
801E,I60.4,5-010.x
801E,S06.6,5-010.x
801D,D32.0,1-698.0
801E,D32.0,5-010.x
801D,D33.3,1-698.0
801E,D33.3,5-010.x
801D,C71.1,1-698.0
801E,C71.1,5-010.x
801D,C79.3,1-698.0
801E,C79.3,5-010.x
801D,C71.2,1-698.0
801E,C71.2,5-010.x
801D,I67.10,1-698.0
801E,I67.10,5-010.x
801D,C71.3,1-698.0
801E,C71.3,5-010.x
801D,D33.1,1-698.0
801E,D33.1,5-010.x
801D,C71.8,1-698.0
801E,C71.8,5-010.x
801D,C71.0,1-698.0
801E,C71.0,5-010.x
801D,D33.0,1-698.0
801E,D33.0,5-010.x
801D,C71.6,1-698.0
801E,C71.6,5-010.x
801D,S06.5,1-698.0
801E,S06.5,5-010.x
801D,C71.7,1-698.0
801E,C71.7,5-010.x
801D,C71.4,1-698.0
801E,C71.4,5-010.x
801D,G06.0,1-698.0
801E,G06.0,5-010.x
801D,I61.0,1-698.0
801E,I61.0,5-010.x
801D,I63.4,1-698.0
801E,I63.4,5-010.x
801D,D33.2,1-698.0
801E,D33.2,5-010.x
801D,C71.9,1-698.0
801E,C71.9,5-010.x
801D,I63.5,1-698.0
801E,I63.5,5-010.x
801D,C71.5,1-698.0
801E,C71.5,5-010.x
801D,G40.2,1-698.0
801E,G40.2,5-010.x
801D,I63.3,1-698.0
801E,I63.3,5-010.x
801D,D43.2,1-698.0
801E,D43.2,5-010.x
801D,I63.0,1-698.0
801E,I63.0,5-010.x
801D,D35.3,1-698.0
801E,D35.3,5-010.x
801D,D43.0,1-698.0
801E,D43.0,5-010.x
801D,I62.00,1-698.0
801E,I62.00,5-010.x
801D,D44.4,1-698.0
801E,D44.4,5-010.x
801D,I63.8,1-698.0
801E,I63.8,5-010.x
801D,D18.02,1-698.0
801E,D18.02,5-010.x
801D,G91.1,1-698.0
801E,G91.1,5-010.x
801D,G93.0,1-698.0
801E,G93.0,5-010.x
801D,I62.02,1-698.0
801E,I62.02,5-010.x
801D,D43.1,1-698.0
801E,D43.1,5-010.x
801D,I60.2,1-698.0
801E,I60.2,5-010.x
801D,I61.4,1-698.0
801E,I61.4,5-010.x
801D,I72.5,1-698.0
801E,I72.5,5-010.x
801D,S06.6,1-698.0
801E,S06.6,5-010.x
801D,I60.1,1-698.0
801E,I60.1,5-010.x
801D,C70.0,1-698.0
801E,C70.0,5-010.x
801D,C75.3,1-698.0
801E,C75.3,5-010.x
801D,D32.9,1-698.0
801E,D32.9,5-010.x
801D,G97.80,1-698.0
801E,G97.80,5-010.x
801D,R90.0,1-698.0
801E,R90.0,5-010.x
801D,S06.33,1-698.0
801E,S06.33,5-010.x
801D,T85.0,1-698.0
801E,T85.0,5-010.x
801E,I63.4,5-010.x
801E,I63.3,5-010.x
801E,I67.10,5-010.x
801E,I63.5,5-010.x
801E,I63.0,5-010.x
801E,I63.1,5-010.x
801E,S06.5,5-010.x
801E,I63.8,5-010.x
801E,I63.2,5-010.x
801E,C79.3,5-010.x
801E,I60.2,5-010.x
801E,I61.0,5-010.x
801E,G06.0,5-010.x
801E,T85.0,5-010.x
801E,G91.8,5-010.x
801E,I60.1,5-010.x
801E,S06.4,5-010.x
801E,G91.1,5-010.x
801E,I62.02,5-010.x
801E,I65.2,5-010.x
801E,I72.0,5-010.x
801E,C71.0,5-010.x
801E,I72.5,5-010.x
801E,I63.3,8-84d.0x
801D,I63.3,5-393.9
801E,I63.0,8-84d.0x
801D,I63.0,5-393.9
801E,I63.4,8-84d.0x
801D,I63.4,5-393.9
801E,I63.8,8-84d.0x
801D,I63.8,5-393.9
801E,I63.1,8-84d.0x
801D,I63.1,5-393.9
801E,I63.5,8-84d.0x
801D,I63.5,5-393.9
801E,I65.2,8-84d.0x
801D,I65.2,5-393.9
801E,I63.2,8-84d.0x
801D,I63.2,5-393.9
801D,I65.2,5-393.9
801D,I65.2,5-394.0
801D,I65.2,5-380.70
802B,I65.2,5-394.2
801D,I63.4,5-393.9
801D,I63.4,5-394.0
801D,I63.4,5-380.70
802B,I63.4,5-394.2
801D,I63.0,5-393.9
801D,I63.0,5-394.0
801D,I63.0,5-380.70
802B,I63.0,5-394.2
801D,I63.3,5-393.9
801D,I63.3,5-394.0
801D,I63.3,5-380.70
802B,I63.3,5-394.2
801D,I63.5,5-393.9
801D,I63.5,5-394.0
801D,I63.5,5-380.70
802B,I63.5,5-394.2
801D,I63.1,5-393.9
801D,I63.1,5-394.0
801D,I63.1,5-380.70
802B,I63.1,5-394.2
801D,I63.2,5-393.9
801D,I63.2,5-394.0
801D,I63.2,5-380.70
802B,I63.2,5-394.2
801D,D44.6,5-393.9
801D,D44.6,5-394.0
801D,D44.6,5-380.70
802B,D44.6,5-394.2
801D,G45.12,5-393.9
801D,G45.12,5-394.0
801D,G45.12,5-380.70
802B,G45.12,5-394.2
801D,I65.3,5-393.9
801D,I65.3,5-394.0
801D,I65.3,5-380.70
802B,I65.3,5-394.2
801D,D35.5,5-393.9
801D,D35.5,5-394.0
801D,D35.5,5-380.70
802B,D35.5,5-394.2
801D,G45.82,5-393.9
801D,G45.82,5-394.0
801D,G45.82,5-380.70
802B,G45.82,5-394.2
801D,D44.7,5-393.9
801D,D44.7,5-394.0
801D,D44.7,5-380.70
802B,D44.7,5-394.2
801D,G45.13,5-393.9
801D,G45.13,5-394.0
801D,G45.13,5-380.70
802B,G45.13,5-394.2
801D,I65.2,5-393.9
801D,I65.2,5-394.0
802A,I65.2,5-401.00
802C,I65.2,5-399.2
802B,I65.2,5-394.2
801E,I65.2,8-84d.0x
802A,I65.2,8-839.10
802C,I65.2,5-386.a6
801D,I65.2,5-386.a5
801D,I65.2,5-394.5
802B,I65.2,5-394.x
801D,I65.2,8-840.0q
801D,I65.3,5-393.9
801D,I65.3,5-394.0
802A,I65.3,5-401.00
802C,I65.3,5-399.2
802B,I65.3,5-394.2
801E,I65.3,8-84d.0x
802A,I65.3,8-839.10
802C,I65.3,5-386.a6
801D,I65.3,5-386.a5
801D,I65.3,5-394.5
802B,I65.3,5-394.x
801D,I65.3,8-840.0q
801D,I63.2,5-393.9
801D,I63.2,5-394.0
802A,I63.2,5-401.00
802C,I63.2,5-399.2
802B,I63.2,5-394.2
801E,I63.2,8-84d.0x
802A,I63.2,8-839.10
802C,I63.2,5-386.a6
801D,I63.2,5-386.a5
801D,I63.2,5-394.5
802B,I63.2,5-394.x
801D,I63.2,8-840.0q
801D,I63.5,5-393.9
801D,I63.5,5-394.0
802A,I63.5,5-401.00
802C,I63.5,5-399.2
802B,I63.5,5-394.2
801E,I63.5,8-84d.0x
802A,I63.5,8-839.10
802C,I63.5,5-386.a6
801D,I63.5,5-386.a5
801D,I63.5,5-394.5
802B,I63.5,5-394.x
801D,I63.5,8-840.0q
801D,I63.0,5-393.9
801D,I63.0,5-394.0
802A,I63.0,5-401.00
802C,I63.0,5-399.2
802B,I63.0,5-394.2
801E,I63.0,8-84d.0x
802A,I63.0,8-839.10
802C,I63.0,5-386.a6
801D,I63.0,5-386.a5
801D,I63.0,5-394.5
802B,I63.0,5-394.x
801D,I63.0,8-840.0q
801D,I72.0,5-393.9
801D,I72.0,5-394.0
802A,I72.0,5-401.00
802C,I72.0,5-399.2
802B,I72.0,5-394.2
801E,I72.0,8-84d.0x
802A,I72.0,8-839.10
802C,I72.0,5-386.a6
801D,I72.0,5-386.a5
801D,I72.0,5-394.5
802B,I72.0,5-394.x
801D,I72.0,8-840.0q
801D,I65.0,5-393.9
801D,I65.0,5-394.0
802A,I65.0,5-401.00
802C,I65.0,5-399.2
802B,I65.0,5-394.2
801E,I65.0,8-84d.0x
802A,I65.0,8-839.10
802C,I65.0,5-386.a6
801D,I65.0,5-386.a5
801D,I65.0,5-394.5
802B,I65.0,5-394.x
801D,I65.0,8-840.0q
801D,G45.89,5-393.9
801D,G45.89,5-394.0
802A,G45.89,5-401.00
802C,G45.89,5-399.2
802B,G45.89,5-394.2
801E,G45.89,8-84d.0x
802A,G45.89,8-839.10
802C,G45.89,5-386.a6
801D,G45.89,5-386.a5
801D,G45.89,5-394.5
802B,G45.89,5-394.x
801D,G45.89,8-840.0q
801D,I65.8,5-393.9
801D,I65.8,5-394.0
802A,I65.8,5-401.00
802C,I65.8,5-399.2
802B,I65.8,5-394.2
801E,I65.8,8-84d.0x
802A,I65.8,8-839.10
802C,I65.8,5-386.a6
801D,I65.8,5-386.a5
801D,I65.8,5-394.5
802B,I65.8,5-394.x
801D,I65.8,8-840.0q
801D,I63.1,5-393.9
801D,I63.1,5-394.0
802A,I63.1,5-401.00
802C,I63.1,5-399.2
802B,I63.1,5-394.2
801E,I63.1,8-84d.0x
802A,I63.1,8-839.10
802C,I63.1,5-386.a6
801D,I63.1,5-386.a5
801D,I63.1,5-394.5
802B,I63.1,5-394.x
801D,I63.1,8-840.0q
801D,I63.4,5-393.9
801D,I63.4,5-394.0
802A,I63.4,5-401.00
802C,I63.4,5-399.2
802B,I63.4,5-394.2
801E,I63.4,8-84d.0x
802A,I63.4,8-839.10
802C,I63.4,5-386.a6
801D,I63.4,5-386.a5
801D,I63.4,5-394.5
802B,I63.4,5-394.x
801D,I63.4,8-840.0q
801D,D44.6,5-393.9
801D,D44.6,5-394.0
802A,D44.6,5-401.00
802C,D44.6,5-399.2
802B,D44.6,5-394.2
801E,D44.6,8-84d.0x
802A,D44.6,8-839.10
802C,D44.6,5-386.a6
801D,D44.6,5-386.a5
801D,D44.6,5-394.5
802B,D44.6,5-394.x
801D,D44.6,8-840.0q
801D,D44.7,5-393.9
801D,D44.7,5-394.0
802A,D44.7,5-401.00
802C,D44.7,5-399.2
802B,D44.7,5-394.2
801E,D44.7,8-84d.0x
802A,D44.7,8-839.10
802C,D44.7,5-386.a6
801D,D44.7,5-386.a5
801D,D44.7,5-394.5
802B,D44.7,5-394.x
801D,D44.7,8-840.0q
801D,G45.12,5-393.9
801D,G45.12,5-394.0
802A,G45.12,5-401.00
802C,G45.12,5-399.2
802B,G45.12,5-394.2
801E,G45.12,8-84d.0x
802A,G45.12,8-839.10
802C,G45.12,5-386.a6
801D,G45.12,5-386.a5
801D,G45.12,5-394.5
802B,G45.12,5-394.x
801D,G45.12,8-840.0q
801D,I63.3,5-393.9
801D,I63.3,5-394.0
802A,I63.3,5-401.00
802C,I63.3,5-399.2
802B,I63.3,5-394.2
801E,I63.3,8-84d.0x
802A,I63.3,8-839.10
802C,I63.3,5-386.a6
801D,I63.3,5-386.a5
801D,I63.3,5-394.5
802B,I63.3,5-394.x
801D,I63.3,8-840.0q
801D,G45.33,5-393.9
801D,G45.33,5-394.0
802A,G45.33,5-401.00
802C,G45.33,5-399.2
802B,G45.33,5-394.2
801E,G45.33,8-84d.0x
802A,G45.33,8-839.10
802C,G45.33,5-386.a6
801D,G45.33,5-386.a5
801D,G45.33,5-394.5
802B,G45.33,5-394.x
801D,G45.33,8-840.0q
801D,G45.82,5-393.9
801D,G45.82,5-394.0
802A,G45.82,5-401.00
802C,G45.82,5-399.2
802B,G45.82,5-394.2
801E,G45.82,8-84d.0x
802A,G45.82,8-839.10
802C,G45.82,5-386.a6
801D,G45.82,5-386.a5
801D,G45.82,5-394.5
802B,G45.82,5-394.x
801D,G45.82,8-840.0q
801D,D35.5,5-393.9
801D,D35.5,5-394.0
802A,D35.5,5-401.00
802C,D35.5,5-399.2
802B,D35.5,5-394.2
801E,D35.5,8-84d.0x
802A,D35.5,8-839.10
802C,D35.5,5-386.a6
801D,D35.5,5-386.a5
801D,D35.5,5-394.5
802B,D35.5,5-394.x
801D,D35.5,8-840.0q
801D,G45.83,5-393.9
801D,G45.83,5-394.0
802A,G45.83,5-401.00
802C,G45.83,5-399.2
802B,G45.83,5-394.2
801E,G45.83,8-84d.0x
802A,G45.83,8-839.10
802C,G45.83,5-386.a6
801D,G45.83,5-386.a5
801D,G45.83,5-394.5
802B,G45.83,5-394.x
801D,G45.83,8-840.0q
801D,I67.10,5-393.9
801D,I67.10,5-394.0
802A,I67.10,5-401.00
802C,I67.10,5-399.2
802B,I67.10,5-394.2
801E,I67.10,8-84d.0x
802A,I67.10,8-839.10
802C,I67.10,5-386.a6
801D,I67.10,5-386.a5
801D,I67.10,5-394.5
802B,I67.10,5-394.x
801D,I67.10,8-840.0q
801D,C75.4,5-393.9
801D,C75.4,5-394.0
802A,C75.4,5-401.00
802C,C75.4,5-399.2
802B,C75.4,5-394.2
801E,C75.4,8-84d.0x
802A,C75.4,8-839.10
802C,C75.4,5-386.a6
801D,C75.4,5-386.a5
801D,C75.4,5-394.5
802B,C75.4,5-394.x
801D,C75.4,8-840.0q
801D,D35.6,5-393.9
801D,D35.6,5-394.0
802A,D35.6,5-401.00
802C,D35.6,5-399.2
802B,D35.6,5-394.2
801E,D35.6,8-84d.0x
802A,D35.6,8-839.10
802C,D35.6,5-386.a6
801D,D35.6,5-386.a5
801D,D35.6,5-394.5
802B,D35.6,5-394.x
801D,D35.6,8-840.0q
801D,G45.02,5-393.9
801D,G45.02,5-394.0
802A,G45.02,5-401.00
802C,G45.02,5-399.2
802B,G45.02,5-394.2
801E,G45.02,8-84d.0x
802A,G45.02,8-839.10
802C,G45.02,5-386.a6
801D,G45.02,5-386.a5
801D,G45.02,5-394.5
802B,G45.02,5-394.x
801D,G45.02,8-840.0q
801D,I63.8,5-393.9
801D,I63.8,5-394.0
802A,I63.8,5-401.00
802C,I63.8,5-399.2
802B,I63.8,5-394.2
801E,I63.8,8-84d.0x
802A,I63.8,8-839.10
802C,I63.8,5-386.a6
801D,I63.8,5-386.a5
801D,I63.8,5-394.5
802B,I63.8,5-394.x
801D,I63.8,8-840.0q
801D,I67.11,5-393.9
801D,I67.11,5-394.0
802A,I67.11,5-401.00
802C,I67.11,5-399.2
802B,I67.11,5-394.2
801E,I67.11,8-84d.0x
802A,I67.11,8-839.10
802C,I67.11,5-386.a6
801D,I67.11,5-386.a5
801D,I67.11,5-394.5
802B,I67.11,5-394.x
801D,I67.11,8-840.0q
801D,G56.0,5-840.80
801D,G56.0,5-845.10
801D,G56.0,5-800.47
801D,G56.0,5-840.81
801D,G57.6,5-840.80
801D,G57.6,5-845.10
801D,G57.6,5-800.47
801D,G57.6,5-840.81
801D,G56.1,5-840.80
801D,G56.1,5-845.10
801D,G56.1,5-800.47
801D,G56.1,5-840.81
801D,G57.5,5-840.80
801D,G57.5,5-845.10
801D,G57.5,5-800.47
801D,G57.5,5-840.81
801D,D36.1,5-840.80
801D,D36.1,5-845.10
801D,D36.1,5-800.47
801D,D36.1,5-840.81
801D,G56.2,5-840.80
801D,G56.2,5-845.10
801D,G56.2,5-800.47
801D,G56.2,5-840.81
801D,S64.4,5-840.80
801D,S64.4,5-845.10
801D,S64.4,5-800.47
801D,S64.4,5-840.81
801D,S54.1,5-840.80
801D,S54.1,5-845.10
801D,S54.1,5-800.47
801D,S54.1,5-840.81
801D,S14.3,5-393.9
801E,S14.3,5-010.x
801D,S14.3,5-380.70
801D,D32.0,5-393.9
801E,D32.0,5-010.x
801D,D32.0,5-380.70
801D,I63.4,5-393.9
801E,I63.4,5-010.x
801D,I63.4,5-380.70
801D,G06.0,5-393.9
801E,G06.0,5-010.x
801D,G06.0,5-380.70
801D,C79.3,5-393.9
801E,C79.3,5-010.x
801D,C79.3,5-380.70
801D,I65.2,5-393.9
801E,I65.2,5-010.x
801D,I65.2,5-380.70
801D,I63.3,5-393.9
801E,I63.3,5-010.x
801D,I63.3,5-380.70
801D,I63.5,5-393.9
801E,I63.5,5-010.x
801D,I63.5,5-380.70
801D,G96.0,5-393.9
801E,G96.0,5-010.x
801D,G96.0,5-380.70
801D,G97.80,5-393.9
801E,G97.80,5-010.x
801D,G97.80,5-380.70
801D,I61.0,5-393.9
801E,I61.0,5-010.x
801D,I61.0,5-380.70
801D,I67.10,5-393.9
801E,I67.10,5-010.x
801D,I67.10,5-380.70
801D,S06.5,5-393.9
801E,S06.5,5-010.x
801D,S06.5,5-380.70
801D,I63.2,5-393.9
801E,I63.2,5-010.x
801D,I63.2,5-380.70
801D,T85.0,5-393.9
801E,T85.0,5-010.x
801D,T85.0,5-380.70
801D,S02.3,5-760.23
801D,S02.3,5-760.24
801E,S02.3,5-762.13
801E,S02.3,5-760.13
802C,S02.3,5-760.63
802A,S02.3,5-761.13
801D,S02.3,5-760.64
801E,S02.3,5-010.x
801E,S02.3,5-762.14
801D,S02.3,5-760.14
801D,S02.3,5-763.13
801D,S02.3,5-761.43
801D,S02.3,5-761.44
801E,S02.3,5-760.43
801D,S02.3,5-761.14
802A,S02.3,5-770.7
802C,S02.3,5-760.x3
801D,S02.1,5-760.23
801D,S02.1,5-760.24
801E,S02.1,5-762.13
801E,S02.1,5-760.13
802C,S02.1,5-760.63
802A,S02.1,5-761.13
801D,S02.1,5-760.64
801E,S02.1,5-010.x
801E,S02.1,5-762.14
801D,S02.1,5-760.14
801D,S02.1,5-763.13
801D,S02.1,5-761.43
801D,S02.1,5-761.44
801E,S02.1,5-760.43
801D,S02.1,5-761.14
802A,S02.1,5-770.7
802C,S02.1,5-760.x3
801D,S02.8,5-760.23
801D,S02.8,5-760.24
801E,S02.8,5-762.13
801E,S02.8,5-760.13
802C,S02.8,5-760.63
802A,S02.8,5-761.13
801D,S02.8,5-760.64
801E,S02.8,5-010.x
801E,S02.8,5-762.14
801D,S02.8,5-760.14
801D,S02.8,5-763.13
801D,S02.8,5-761.43
801D,S02.8,5-761.44
801E,S02.8,5-760.43
801D,S02.8,5-761.14
802A,S02.8,5-770.7
802C,S02.8,5-760.x3
801D,S06.0,5-760.23
801D,S06.0,5-760.24
801E,S06.0,5-762.13
801E,S06.0,5-760.13
802C,S06.0,5-760.63
802A,S06.0,5-761.13
801D,S06.0,5-760.64
801E,S06.0,5-010.x
801E,S06.0,5-762.14
801D,S06.0,5-760.14
801D,S06.0,5-763.13
801D,S06.0,5-761.43
801D,S06.0,5-761.44
801E,S06.0,5-760.43
801D,S06.0,5-761.14
802A,S06.0,5-770.7
802C,S06.0,5-760.x3
801D,S02.0,5-760.23
801D,S02.0,5-760.24
801E,S02.0,5-762.13
801E,S02.0,5-760.13
802C,S02.0,5-760.63
802A,S02.0,5-761.13
801D,S02.0,5-760.64
801E,S02.0,5-010.x
801E,S02.0,5-762.14
801D,S02.0,5-760.14
801D,S02.0,5-763.13
801D,S02.0,5-761.43
801D,S02.0,5-761.44
801E,S02.0,5-760.43
801D,S02.0,5-761.14
802A,S02.0,5-770.7
802C,S02.0,5-760.x3
801D,S06.5,5-760.23
801D,S06.5,5-760.24
801E,S06.5,5-762.13
801E,S06.5,5-760.13
802C,S06.5,5-760.63
802A,S06.5,5-761.13
801D,S06.5,5-760.64
801E,S06.5,5-010.x
801E,S06.5,5-762.14
801D,S06.5,5-760.14
801D,S06.5,5-763.13
801D,S06.5,5-761.43
801D,S06.5,5-761.44
801E,S06.5,5-760.43
801D,S06.5,5-761.14
802A,S06.5,5-770.7
802C,S06.5,5-760.x3
801D,I62.02,5-760.23
801D,I62.02,5-760.24
801E,I62.02,5-762.13
801E,I62.02,5-760.13
802C,I62.02,5-760.63
802A,I62.02,5-761.13
801D,I62.02,5-760.64
801E,I62.02,5-010.x
801E,I62.02,5-762.14
801D,I62.02,5-760.14
801D,I62.02,5-763.13
801D,I62.02,5-761.43
801D,I62.02,5-761.44
801E,I62.02,5-760.43
801D,I62.02,5-761.14
802A,I62.02,5-770.7
802C,I62.02,5-760.x3
801D,G51.0,5-760.23
801D,G51.0,5-760.24
801E,G51.0,5-762.13
801E,G51.0,5-760.13
802C,G51.0,5-760.63
802A,G51.0,5-761.13
801D,G51.0,5-760.64
801E,G51.0,5-010.x
801E,G51.0,5-762.14
801D,G51.0,5-760.14
801D,G51.0,5-763.13
801D,G51.0,5-761.43
801D,G51.0,5-761.44
801E,G51.0,5-760.43
801D,G51.0,5-761.14
802A,G51.0,5-770.7
802C,G51.0,5-760.x3
801D,B02.2,5-760.23
801D,B02.2,5-760.24
801E,B02.2,5-762.13
801E,B02.2,5-760.13
802C,B02.2,5-760.63
802A,B02.2,5-761.13
801D,B02.2,5-760.64
801E,B02.2,5-010.x
801E,B02.2,5-762.14
801D,B02.2,5-760.14
801D,B02.2,5-763.13
801D,B02.2,5-761.43
801D,B02.2,5-761.44
801E,B02.2,5-760.43
801D,B02.2,5-761.14
802A,B02.2,5-770.7
802C,B02.2,5-760.x3
801D,D32.0,5-760.23
801D,D32.0,5-760.24
801E,D32.0,5-762.13
801E,D32.0,5-760.13
802C,D32.0,5-760.63
802A,D32.0,5-761.13
801D,D32.0,5-760.64
801E,D32.0,5-010.x
801E,D32.0,5-762.14
801D,D32.0,5-760.14
801D,D32.0,5-763.13
801D,D32.0,5-761.43
801D,D32.0,5-761.44
801E,D32.0,5-760.43
801D,D32.0,5-761.14
802A,D32.0,5-770.7
802C,D32.0,5-760.x3
801D,G96.0,5-760.23
801D,G96.0,5-760.24
801E,G96.0,5-762.13
801E,G96.0,5-760.13
802C,G96.0,5-760.63
802A,G96.0,5-761.13
801D,G96.0,5-760.64
801E,G96.0,5-010.x
801E,G96.0,5-762.14
801D,G96.0,5-760.14
801D,G96.0,5-763.13
801D,G96.0,5-761.43
801D,G96.0,5-761.44
801E,G96.0,5-760.43
801D,G96.0,5-761.14
802A,G96.0,5-770.7
802C,G96.0,5-760.x3
801D,S06.6,5-760.23
801D,S06.6,5-760.24
801E,S06.6,5-762.13
801E,S06.6,5-760.13
802C,S06.6,5-760.63
802A,S06.6,5-761.13
801D,S06.6,5-760.64
801E,S06.6,5-010.x
801E,S06.6,5-762.14
801D,S06.6,5-760.14
801D,S06.6,5-763.13
801D,S06.6,5-761.43
801D,S06.6,5-761.44
801E,S06.6,5-760.43
801D,S06.6,5-761.14
802A,S06.6,5-770.7
802C,S06.6,5-760.x3
801D,I63.4,5-393.9
801D,I63.5,5-393.9
801D,I63.3,5-393.9
801D,S06.0,5-393.9
801D,S06.6,5-393.9
801D,I65.2,5-393.9
801D,G40.2,5-393.9
801D,G45.12,5-393.9
801D,I63.0,5-393.9
801D,S06.5,5-393.9
801D,G45.82,5-393.9
801D,G45.92,5-393.9
801D,I63.1,5-393.9
801D,I63.8,5-393.9
801D,I63.9,5-393.9
801D,G45.13,5-393.9
801D,I62.02,5-393.9
801D,R26.8,5-393.9
801D,G40.1,5-393.9
801D,G45.02,5-393.9
801D,I63.2,5-393.9
801D,R40.0,5-393.9
801D,G40.9,5-393.9
801D,G41.2,5-393.9
801D,G70.0,5-393.9
801D,I61.0,5-393.9
801D,R26.3,5-393.9
801D,R29.6,5-393.9
801D,I63.4,5-333.1
801D,G70.0,5-333.1
801D,I63.5,5-333.1
801D,I63.3,5-333.1
801D,I63.8,5-333.1
801D,I63.9,5-333.1
801D,G45.12,5-333.1
801D,S06.0,5-333.1
801D,I63.1,5-333.1
801D,G45.82,5-333.1
801D,I63.0,5-333.1
801D,I63.2,5-333.1
801D,G45.02,5-333.1
801D,S06.5,5-333.1
801D,S06.6,5-333.1
801D,G51.0,5-393.9
801D,I65.2,5-393.9
801D,G62.88,5-393.9
801D,G80.0,5-393.9
801D,I63.4,5-393.9
801D,G50.0,5-393.9
801D,G54.0,5-393.9
801D,I63.3,5-393.9
801D,G40.2,5-393.9
801D,G61.8,5-393.9
801D,G45.82,5-393.9
801D,G57.3,5-393.9
801D,I63.0,5-393.9
801D,G40.3,5-393.9
801D,G56.0,5-393.9
801D,G56.2,5-393.9
801D,G56.3,5-393.9
801D,G62.9,5-393.9
802C,G51.0,5-399.2
801D,G51.0,5-858.70
802C,G51.0,5-386.a2
802C,G51.0,5-386.a6
802C,G51.0,5-915.48
802C,G54.0,5-399.2
801D,G54.0,5-858.70
802C,G54.0,5-386.a2
802C,G54.0,5-386.a6
802C,G54.0,5-915.48
802C,S64.4,5-399.2
801D,S64.4,5-858.70
802C,S64.4,5-386.a2
802C,S64.4,5-386.a6
802C,S64.4,5-915.48
802C,D36.1,5-399.2
801D,D36.1,5-858.70
802C,D36.1,5-386.a2
802C,D36.1,5-386.a6
802C,D36.1,5-915.48
802C,G56.2,5-399.2
801D,G56.2,5-858.70
802C,G56.2,5-386.a2
802C,G56.2,5-386.a6
802C,G56.2,5-915.48
802C,G56.3,5-399.2
801D,G56.3,5-858.70
802C,G56.3,5-386.a2
802C,G56.3,5-386.a6
802C,G56.3,5-915.48
802C,S54.1,5-399.2
801D,S54.1,5-858.70
802C,S54.1,5-386.a2
802C,S54.1,5-386.a6
